year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,,Y,1908,Directly funded,Y,6,8,197,142,1,0,8,0,106,146,53,172,Y,,10,10,,1,1,6,8,1,01100170137448
21,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1284,Directly funded,Y,K,8,253,93,1,0,3,0,140,176,132,210,Y,,6,10,,1,1,14,8,1,01100170123968
21,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,1881,Directly funded,Y,K,12,534,128,0,0,2,0,88,146,16,153,Y,,12,10,,1,1,14,12,1,01100170136101
21,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,0740,Directly funded,Y,P,5,581,508,7,0,5,0,301,516,279,536,Y,,6,10,,1,1,15,5,1,01100176001788
21,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Y,0811,Directly funded,Y,6,12,408,310,4,0,0,0,182,317,70,328,Y,,7,10,,1,1,6,12,1,01100170112607
21,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,2027,Directly funded,Y,K,6,114,61,0,0,0,0,33,61,39,77,Y,,6,10,,1,1,14,6,1,01100170138867
21,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1464,Directly funded,Y,K,8,485,442,2,0,5,0,220,442,235,455,Y,,6,10,,1,1,14,8,1,01100176002000
21,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Y,1707,Directly funded,Y,6,8,145,118,0,0,0,0,64,124,62,128,Y,,9,10,,1,1,6,8,1,01100170131581
21,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Y,1888,Locally funded,N,10,12,134,40,4,0,1,0,46,49,22,65,Y,,3,4,,2,0,10,12,1,01100170136226
21,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1383,Directly funded,Y,K,8,394,42,0,0,2,0,91,111,66,139,Y,,6,10,,1,1,14,8,1,01100170125567
21,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1296,Directly funded,Y,K,8,555,101,0,0,1,0,78,101,53,135,Y,,6,10,,1,1,14,8,1,01100170124172
21,01,10017,0000000,Alameda,Alameda County Office of Education,,County Office of Education (COE),,,,,,,,,,157,90,7,0,12,0,93,111,37,138,Y,,,,,,,,,1,01100170000000
21,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Y,0352,Directly funded,Y,6,12,358,74,0,0,4,0,71,86,48,112,Y,,12,10,,1,1,6,12,1,01611190130609
21,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Y,0398,Directly funded,Y,9,12,167,119,0,0,5,0,69,154,97,159,Y,,7,10,,1,1,9,12,1,01611190130625
21,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Y,1066,Directly funded,Y,K,12,589,155,0,0,9,0,164,195,94,226,Y,,12,10,,1,1,14,12,1,01611190119222
21,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,1181,Directly funded,Y,6,8,439,250,1,0,4,0,148,251,66,267,Y,,9,10,,1,1,6,8,1,01611190122085
21,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,1718,Directly funded,Y,K,5,303,160,1,0,0,0,78,160,56,171,Y,,6,10,,1,1,14,5,1,01611190131805
21,01,61119,0000000,Alameda,Alameda Unified,,Unified School District,,,,,,,,,,9070,2123,14,0,55,0,1780,2255,1041,2743,Y,,,,,,,,,1,01611190000000
21,01,61127,0000000,Alameda,Albany City Unified,,Unified School District,,,,,,,,,,3501,544,2,0,3,0,471,587,430,868,Y,,,,,,,,,1,01611270000000
21,01,61143,0000000,Alameda,Berkeley Unified,,Unified School District,,,,,,,,,,9409,2391,16,0,199,0,1730,2431,684,2743,Y,,,,,,,,,1,01611430000000
21,01,61150,0000000,Alameda,Castro Valley Unified,,Unified School District,,,,,,,,,,9203,1896,17,0,92,0,1391,1977,1002,2579,Y,,,,,,,,,1,01611500000000
21,01,61168,0000000,Alameda,Emery Unified,,Unified School District,,,,,,,,,,696,522,0,0,1,0,300,553,149,565,Y,,,,,,,,,1,01611680000000
21,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Y,0152,Locally funded,Y,K,12,405,150,1,0,0,0,96,154,40,170,Y,,12,10,,2,1,14,12,1,01611760130534
21,01,61176,0000000,Alameda,Fremont Unified,,Unified School District,,,,,,,,,,34782,6469,24,0,178,63,3605,6512,4425,9215,Y,,,,,,,,,1,01611760000000
21,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Y,1067,Directly funded,Y,1,8,308,23,0,0,1,0,41,57,32,81,Y,,6,10,,1,1,1,8,1,01611920119248
21,01,61192,0137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,K-12 Schools (Public),Traditional,,Y,0836,Directly funded,Y,6,12,824,487,0,0,0,0,229,492,109,518,Y,,12,10,,1,1,6,12,1,01611920137646
21,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Y,1514,Directly funded,Y,K,8,602,317,1,0,0,0,206,319,237,403,Y,,6,10,,1,1,14,8,1,01611920127696
21,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Y,0684,Directly funded,Y,9,12,614,338,0,0,0,0,153,339,51,354,Y,,7,10,,1,1,9,12,1,01611920108670
21,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,Not Participating,Y,1543,Directly funded,Y,9,12,221,125,0,0,1,1,56,131,29,136,Y,,7,10,,1,1,9,12,1,01611920127944
21,01,61192,0000000,Alameda,Hayward Unified,,Unified School District,,,,,,,,,,19069,11193,57,0,543,349,7055,11419,6136,13275,Y,,,,,,,,,1,01611920000000
21,01,61200,0000000,Alameda,Livermore Valley Joint Unified,,Unified School District,,,,,,,,,,13304,2994,12,0,101,168,2027,3034,1379,3531,Y,,,,,,,,,1,01612000000000
21,01,61218,0000000,Alameda,Mountain House Elementary,,Elementary School District,,,,,,,,,,16,12,0,0,0,0,6,12,4,12,Y,,,,,,,,,1,01612180000000
21,01,61234,0000000,Alameda,Newark Unified,,Unified School District,,,,,,,,,,5503,2833,17,0,251,61,1314,2956,1130,3259,Y,,,,,,,,,1,01612340000000
21,01,61242,0000000,Alameda,New Haven Unified,,Unified School District,,,,,,,,,,10770,4176,8,0,143,124,2361,4207,2161,5202,Y,,,,,,,,,1,01612420000000
21,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,0780,Directly funded,Y,K,5,607,552,0,0,9,0,274,558,452,585,Y,,6,10,,1,1,14,5,1,01612590111476
21,01,61259,6113807,Alameda,Oakland Unified,American Indian Public Charter,Unified School District,Junior High Schools (Public),Traditional,,Y,0106,Directly funded,Y,6,8,240,151,0,0,0,0,141,159,72,182,Y,,10,10,,1,1,6,8,1,01612596113807
21,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter II,Unified School District,Elementary Schools (Public),Traditional,,Y,0882,Directly funded,Y,K,8,659,440,0,0,0,0,376,452,227,514,Y,,6,10,,1,1,14,8,1,01612590114363
21,01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,Unified School District,High Schools (Public),Traditional,,Y,0765,Directly funded,Y,9,12,446,278,0,0,0,0,235,286,80,309,Y,,7,10,,1,1,9,12,1,01612590111856
21,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,,Y,0837,Directly funded,Y,9,12,387,326,0,0,0,0,159,332,81,342,Y,,7,10,,1,1,9,12,1,01612590115238
21,01,61259,6118608,Alameda,Oakland Unified,ASCEND,Unified School District,Elementary Schools (Public),Traditional,,Y,1443,Directly funded,Y,K,8,509,447,2,0,0,0,214,449,308,478,Y,,6,10,,1,1,14,8,1,01612596118608
21,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,0726,Directly funded,Y,K,8,555,396,2,0,0,0,272,397,83,417,Y,,6,10,,1,1,14,8,1,01612590109819
21,01,61259,0128413,Alameda,Oakland Unified,Aspire College Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1577,Directly funded,Y,K,5,271,229,0,0,0,0,138,231,94,242,Y,,6,10,,1,1,14,5,1,01612590128413
21,01,61259,0120188,Alameda,Oakland Unified,Aspire ERES Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1115,Directly funded,Y,K,8,228,207,0,0,2,0,113,209,111,217,Y,,6,10,,1,1,14,8,1,01612590120188
21,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Y,1023,Directly funded,Y,6,12,608,486,1,0,2,0,282,489,149,521,Y,,12,10,,1,1,6,12,1,01612590118224
21,01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Y,0465,Directly funded,Y,6,12,505,432,0,0,12,0,191,433,134,446,Y,,12,10,,1,1,6,12,1,01612590130666
21,01,61259,6117568,Alameda,Oakland Unified,Aspire Monarch Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,0252,Directly funded,Y,K,5,413,358,0,0,6,0,183,359,207,386,Y,,6,10,,1,1,14,5,1,01612596117568
21,01,61259,0130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1663,Directly funded,Y,K,5,286,266,0,0,7,0,165,269,52,269,Y,,6,10,,1,1,14,5,1,01612590130732
21,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,,Y,0661,Directly funded,Y,6,12,353,237,1,0,31,0,177,267,87,289,Y,,12,10,,1,1,6,12,1,01612590106906
21,01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,Unified School District,High Schools (Public),Traditional,,Y,0948,Directly funded,Y,9,Adult,54,54,1,0,8,0,9,54,12,54,Y,,7,10,,1,1,9,14,1,01612590115386
21,01,61259,0132555,Alameda,Oakland Unified,Conservatory of Vocal/Instrumental Arts High,Unified School District,High Schools (Public),Traditional,,Y,1745,Directly funded,Y,9,12,55,36,1,0,0,0,25,37,10,38,Y,,7,10,,1,1,9,12,1,01612590132555
21,01,61259,0129635,Alameda,Oakland Unified,Downtown Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1661,Directly funded,Y,6,8,318,113,0,0,0,0,168,241,53,248,Y,,9,10,,1,1,6,8,1,01612590129635
21,01,61259,0129932,Alameda,Oakland Unified,East Bay Innovation Academy,Unified School District,K-12 Schools (Public),Traditional,,Y,1620,Directly funded,Y,6,12,630,197,0,0,0,0,134,211,51,235,Y,,12,10,,1,1,6,12,1,01612590129932
21,01,61259,0132514,Alameda,Oakland Unified,Francophone Charter School of Oakland,Unified School District,Elementary Schools (Public),Traditional,,Y,1708,Directly funded,Y,K,8,311,26,0,0,0,0,54,63,46,93,Y,,6,10,,1,1,14,8,1,01612590132514
21,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,0938,Directly funded,Y,K,8,560,462,3,0,25,0,344,475,131,485,Y,,6,10,,1,1,14,8,1,01612590115014
21,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,,Y,1442,Directly funded,Y,K,5,411,370,2,0,8,0,217,377,194,381,Y,,6,10,,1,1,14,5,1,01612590115592
21,01,61259,0130633,Alameda,Oakland Unified,Lighthouse Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,0413,Directly funded,Y,K,8,511,455,0,0,6,0,222,455,289,478,Y,,6,10,,1,1,14,8,1,01612590130633
21,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,,Y,0700,Directly funded,Y,9,12,304,264,1,0,3,0,127,264,90,273,Y,,7,10,,1,1,9,12,1,01612590108944
21,01,61259,0134015,Alameda,Oakland Unified,Lodestar: A Lighthouse Community Charter Public,Unified School District,K-12 Schools (Public),Traditional,,Y,1783,Directly funded,Y,K,12,645,509,2,0,9,0,262,515,265,542,Y,,12,10,,1,1,14,12,1,01612590134015
21,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,Y,1449,Directly funded,Y,9,12,492,455,3,0,16,0,202,455,189,473,Y,,7,10,1,1,1,9,12,1,01612590126748
21,01,61259,6117972,Alameda,Oakland Unified,North Oakland Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,0302,Directly funded,Y,K,8,159,73,1,0,0,0,64,78,25,85,Y,,6,10,,1,1,14,8,1,01612596117972
21,01,61259,6111660,Alameda,Oakland Unified,Oakland Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,0014,Directly funded,Y,6,8,248,76,0,0,0,0,128,199,115,218,Y,,9,10,,1,1,6,8,1,01612596111660
