year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
22,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,,Y,0398,Directly funded,Y,9,12,150,107,0,0,8,0,63,134,93,142,Y,,7,10,,1,1,9,12,1,01100170130625
22,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,,Y,1908,Directly funded,Y,6,8,164,147,1,0,1,0,84,148,51,150,Y,,10,10,,1,1,6,8,1,01100170137448
22,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1284,Directly funded,Y,K,8,202,163,0,0,1,0,106,177,100,185,Y,,6,10,,1,1,14,8,1,01100170123968
22,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,1881,Directly funded,Y,K,12,514,101,0,0,6,0,93,124,11,130,Y,,12,10,,1,1,14,12,1,01100170136101
22,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,0740,Directly funded,Y,P,5,516,269,3,0,2,0,255,360,268,421,Y,,6,10,,1,1,15,5,1,01100176001788
22,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,0811,Directly funded,Y,4,12,411,263,3,0,0,0,156,288,77,301,Y,,12,10,,1,1,4,12,1,01100170112607
22,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,2027,Directly funded,Y,K,6,141,92,0,0,0,0,35,93,45,102,Y,,6,10,,1,1,14,6,1,01100170138867
22,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1464,Directly funded,Y,K,8,469,234,0,0,2,0,203,307,247,361,Y,,6,10,,1,1,14,8,1,01100176002000
22,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Y,1707,Directly funded,Y,6,8,108,80,0,0,0,0,50,90,41,94,Y,,9,10,,1,1,6,8,1,01100170131581
22,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Y,1888,Locally funded,N,10,12,186,1,9,0,2,0,63,71,33,95,Y,,3,4,,2,0,10,12,1,01100170136226
