year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
19,01,10017,0000000,Alameda,Alameda County Office of Education,,County Office of Education (COE),,,,,,,,,,186,85,18,11,0,100,142,33,168,Y,,,,,,,,,1,01100170000000
19,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Yes,0811,Directly funded,Y,9,12,385,284,1,0,0,166,306,58,311,Y,1,7,10,,1,1,9,12,1,01100170112607
19,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1284,Directly funded,Y,K,8,233,22,1,0,0,107,117,115,168,Y,1,6,10,,1,1,14,8,1,01100170123968
19,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1296,Directly funded,Y,K,8,445,64,0,0,0,46,64,31,83,Y,1,6,10,,1,1,14,8,1,01100170124172
19,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1383,Directly funded,Y,K,8,432,88,1,3,0,83,131,75,170,Y,1,6,10,,1,1,14,8,1,01100170125567
19,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1707,Directly funded,Y,6,8,184,132,0,0,0,76,141,73,163,Y,1,9,10,,1,1,6,8,1,01100170131581
19,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,1881,Directly funded,Y,K,12,314,41,0,0,0,38,41,6,46,Y,1,12,10,,1,1,14,12,1,01100170136101
19,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,,Yes,1888,Locally funded,N,10,12,71,0,4,0,0,32,34,9,37,Y,1,3,4,,2,0,10,12,1,01100170136226
19,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,,Yes,1908,Directly funded,Y,6,8,91,78,0,6,0,45,81,20,81,Y,1,10,10,,1,1,6,8,1,01100170137448
19,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,0740,Directly funded,Y,P,5,609,509,0,12,0,310,547,280,574,Y,1,6,10,,1,1,15,5,1,01100176001788
19,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,1464,Directly funded,Y,K,8,472,403,5,6,27,192,422,263,445,Y,1,6,10,,1,1,14,8,1,01100176002000
19,01,61119,0000000,Alameda,Alameda Unified,,Unified School District,,,,,,,,,,9383,2538,22,34,0,1818,2575,1277,3144,Y,,,,,,,,,1,01611190000000
19,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,1066,Directly funded,Y,K,12,578,182,2,21,0,127,203,78,239,Y,1,12,10,,1,1,14,12,1,01611190119222
19,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,1181,Directly funded,Y,6,8,494,236,0,2,0,125,236,58,249,Y,1,9,10,,1,1,6,8,1,01611190122085
19,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Yes,0352,Directly funded,Y,6,12,351,80,0,7,0,80,93,41,108,Y,1,12,10,,1,1,6,12,1,01611190130609
19,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Yes,0398,Directly funded,Y,9,12,202,181,2,2,0,88,191,98,192,Y,1,7,10,,1,1,9,12,1,01611190130625
19,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,,Yes,1718,Directly funded,Y,K,5,251,114,0,1,0,47,114,49,125,Y,1,6,10,,1,1,14,5,1,01611190131805
19,01,61127,0000000,Alameda,Albany City Unified,,Unified School District,,,,,,,,,,3682,740,2,12,0,449,758,583,1118,Y,,,,,,,,,1,01611270000000
19,01,61143,0000000,Alameda,Berkeley Unified,,Unified School District,,,,,,,,,,9811,2931,22,264,0,1722,2963,868,3275,Y,,,,,,,,,1,01611430000000
19,01,61143,0138552,Alameda,Berkeley Unified,REALM Charter,Unified School District,K-12 Schools (Public),Traditional,,Yes,1255,Directly funded,Y,6,12,383,239,1,1,0,143,240,85,275,Y,1,12,10,,1,1,6,12,1,01611430138552
19,01,61150,0000000,Alameda,Castro Valley Unified,,Unified School District,,,,,,,,,,9257,2193,12,68,0,1340,2214,1019,2739,Y,,,,,,,,,1,01611500000000
19,01,61168,0000000,Alameda,Emery Unified,,Unified School District,,,,,,,,,,738,584,1,7,0,308,592,159,613,Y,,,,,,,,,1,01611680000000
19,01,61176,0000000,Alameda,Fremont Unified,,Unified School District,,,,,,,,,,35176,6872,23,188,69,3559,6905,4622,9733,Y,,,,,,,,,1,01611760000000
19,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,,Yes,0152,Locally funded,N,K,12,368,81,0,2,0,79,118,44,139,Y,1,12,10,,2,0,14,12,1,01611760130534
19,01,61192,0000000,Alameda,Hayward Unified,,Unified School District,,,,,,,,,,19909,13849,61,759,385,7384,14209,5845,15484,Y,,,,,,,,,1,01611920000000
19,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Yes,0684,Directly funded,Y,9,12,595,369,0,0,0,126,370,41,378,Y,1,7,10,,1,1,9,12,1,01611920108670
19,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Yes,1067,Directly funded,Y,1,8,249,44,0,0,4,31,49,17,56,Y,1,6,10,,1,1,1,8,1,01611920119248
19,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1514,Directly funded,Y,K,8,560,297,2,0,0,193,320,231,392,Y,1,6,10,,1,1,14,8,1,01611920127696
19,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,,Yes,1543,Directly funded,Y,9,12,218,130,0,0,0,57,130,18,132,Y,1,7,10,,1,1,9,12,1,01611920127944
19,01,61192,0137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,K-12 Schools (Public),Traditional,,Yes,0836,Directly funded,Y,6,12,842,487,1,0,0,241,541,97,567,Y,1,12,10,,1,1,6,12,1,01611920137646
19,01,61200,0000000,Alameda,Livermore Valley Joint Unified,,Unified School District,,,,,,,,,,13722,3375,12,67,192,2075,3412,1454,3794,Y,,,,,,,,,1,01612000000000
19,01,61218,0000000,Alameda,Mountain House Elementary,,Elementary School District,,,,,,,,,,17,11,0,0,0,3,11,6,11,Y,,,,,,,,,1,01612180000000
19,01,61234,0000000,Alameda,Newark Unified,,Unified School District,,,,,,,,,,5718,2695,7,151,93,1358,2791,1287,3190,Y,,,,,,,,,1,01612340000000
19,01,61242,0000000,Alameda,New Haven Unified,,Unified School District,,,,,,,,,,11262,5096,15,148,142,2473,5096,2354,5934,Y,,,,,,,,,1,01612420000000
19,01,61259,0000000,Alameda,Oakland Unified,,Unified School District,,,,,,,,,,36468,26330,142,768,20,15204,26723,11976,27799,Y,,,,,,,,,1,01612590000000
19,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,,Yes,0510,Directly funded,Y,9,12,359,293,0,0,0,137,306,55,314,Y,1,7,10,,1,1,9,12,1,01612590100065
19,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,,Yes,0661,Directly funded,Y,6,12,299,65,1,7,0,122,160,46,184,Y,1,12,10,,1,1,6,12,1,01612590106906
19,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,,Yes,0700,Directly funded,Y,9,12,280,214,0,0,0,89,221,55,227,Y,1,7,10,,1,1,9,12,1,01612590108944
19,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,0726,Directly funded,Y,K,8,582,386,5,0,0,249,404,81,424,Y,1,6,10,,1,1,14,8,1,01612590109819
19,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,0780,Directly funded,Y,K,5,634,542,1,15,0,285,569,447,610,Y,1,6,10,,1,1,14,5,1,01612590111476
19,01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,Unified School District,High Schools (Public),Traditional,,Yes,0765,Directly funded,Y,9,12,411,275,0,0,0,187,290,56,299,Y,1,7,10,,1,1,9,12,1,01612590111856
19,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter II,Unified School District,Elementary Schools (Public),Traditional,,Yes,0882,Directly funded,Y,K,8,794,580,1,0,0,399,600,261,643,Y,1,6,10,,1,1,14,8,1,01612590114363
19,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,,Yes,0883,Directly funded,Y,9,12,459,357,1,12,0,202,380,49,385,Y,1,7,10,,1,1,9,12,1,01612590114868
19,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,0938,Directly funded,Y,K,8,528,411,4,17,0,281,423,119,433,Y,1,9,10,,1,1,14,8,1,01612590115014
19,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,,Yes,0837,Directly funded,Y,9,12,317,163,5,0,2,127,227,52,242,Y,1,7,10,,1,1,9,12,1,01612590115238
19,01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,Unified School District,High Schools (Public),Traditional,,Yes,0948,Directly funded,Y,9,Adult,60,55,2,3,0,15,55,8,55,Y,1,7,10,,1,1,9,14,1,01612590115386
19,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,,Yes,1442,Directly funded,Y,K,5,429,352,2,11,0,207,380,167,392,Y,1,6,10,,1,1,14,5,1,01612590115592
19,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,1023,Directly funded,Y,6,12,618,536,1,0,0,266,550,136,568,Y,1,12,10,,1,1,6,12,1,01612590118224
19,01,61259,0120188,Alameda,Oakland Unified,Aspire ERES Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1115,Directly funded,Y,K,8,232,208,3,0,0,110,222,119,223,Y,1,6,10,,1,1,14,8,1,01612590120188
19,01,61259,0123711,Alameda,Oakland Unified,Vincent Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1271,Directly funded,Y,K,5,242,65,1,2,0,144,193,54,204,Y,1,6,10,,1,1,14,5,1,01612590123711
