year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
25,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,Yes,0398,Directly funded,Y,9,12,106,92,0,0,0,0,47,96,56,101,Y,1,7,10,1,1,9,12,1,01100170130625
25,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,Yes,1908,Directly funded,Y,6,8,93,80,0,0,1,0,50,80,25,83,Y,1,10,10,1,1,6,8,1,01100170137448
25,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1284,Directly funded,Y,K,8,183,156,3,0,0,0,100,163,97,171,Y,1,6,10,1,1,14,8,1,01100170123968
25,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,1881,Directly funded,Y,K,12,540,132,1,0,0,0,112,164,23,173,Y,1,12,10,1,1,14,12,1,01100170136101
25,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,0740,Directly funded,Y,K,5,446,393,0,0,39,1,274,403,231,421,Y,1,6,10,1,1,14,5,1,01100176001788
25,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,Yes,0811,Directly funded,Y,6,12,207,140,2,0,0,0,121,153,23,162,Y,1,12,10,1,1,6,12,1,01100170112607
25,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,2027,Directly funded,Y,K,6,231,124,0,0,3,0,78,128,49,135,Y,1,6,10,1,1,14,6,1,01100170138867
25,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1464,Directly funded,Y,K,8,490,416,2,0,2,0,262,419,171,431,Y,1,6,10,1,1,14,8,1,01100176002000
25,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Yes,1707,Directly funded,Y,6,8,132,101,0,0,0,0,76,101,49,106,Y,1,9,10,1,1,6,8,1,01100170131581
25,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,Yes,1888,Locally funded,N,10,12,175,9,6,0,4,0,62,66,41,88,Y,1,3,4,2,0,10,12,1,01100170136226
25,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1383,Directly funded,Y,K,8,343,125,0,0,0,0,97,128,25,138,Y,1,6,10,1,1,14,8,1,01100170125567
25,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Yes,1296,Directly funded,Y,K,8,959,317,0,0,0,0,226,325,165,385,Y,1,6,10,1,1,14,8,1,01100170124172
25,01,10017,0000000,Alameda,Alameda County Office of Education,N/A,County Office of Education (COE),,,,N/A,,,,,129,19,14,0,12,0,58,75,47,114,Y,,,,,,,,1,01100170000000
25,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Yes,0352,Directly funded,Y,6,12,362,112,0,0,0,0,138,147,47,165,Y,1,12,10,1,1,6,12,1,01611190130609
25,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Yes,1066,Directly funded,Y,K,12,479,133,0,0,2,0,133,154,67,190,Y,1,12,10,1,1,14,12,1,01611190119222
25,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Elementary Schools (Public),Traditional,Yes,1181,Directly funded,Y,K,8,638,314,3,0,3,0,226,324,86,353,Y,1,6,10,1,1,14,8,1,01611190122085
25,01,61119,0000000,Alameda,Alameda Unified,N/A,Unified School District,,,,N/A,,,,,9292,3260,15,0,72,0,1884,3308,710,3484,Y,,,,,,,,1,01611190000000
25,01,61127,0000000,Alameda,Albany City Unified,N/A,Unified School District,,,,N/A,,,,,3694,1158,3,0,23,0,596,1179,446,1356,Y,,,,,,,,1,01611270000000
25,01,61143,0000000,Alameda,Berkeley Unified,N/A,Unified School District,,,,N/A,,,,,9162,2626,23,0,192,0,1704,2681,580,2895,Y,,,,,,,,1,01611430000000
25,01,61150,0000000,Alameda,Castro Valley Unified,N/A,Unified School District,,,,N/A,,,,,9570,3517,12,0,125,0,1728,3705,1152,4081,Y,,,,,,,,1,01611500000000
25,01,61168,0000000,Alameda,Emery Unified,N/A,Unified School District,,,,N/A,,,,,590,444,7,0,15,0,306,459,84,477,Y,,,,,,,,1,01611680000000
25,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,Yes,0152,Locally funded,N,K,12,394,155,0,0,10,0,149,182,62,207,Y,1,12,10,2,0,14,12,1,01611760130534
25,01,61176,0000000,Alameda,Fremont Unified,N/A,Unified School District,,,,N/A,,,,,32740,9829,22,0,270,36,4959,9900,5388,12269,Y,,,,,,,,1,01611760000000
25,01,61192,0127944,Alameda,Hayward Unified,Hayward Twin Oaks Montessori,Unified School District,K-12 Schools (Public),Traditional,Yes,1543,Directly funded,Y,1,12,643,230,0,0,1,0,157,244,101,285,Y,1,12,10,1,1,1,12,1,01611920127944
25,01,61192,0137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,K-12 Schools (Public),Traditional,Yes,0836,Directly funded,Y,6,12,716,394,2,0,0,0,221,413,131,450,Y,1,12,10,1,1,6,12,1,01611920137646
25,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,1514,Directly funded,Y,K,8,645,495,0,0,0,0,321,527,273,565,Y,1,6,10,1,1,14,8,1,01611920127696
25,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,Yes,0684,Directly funded,Y,9,12,573,347,0,0,3,0,176,351,65,362,Y,1,7,10,1,1,9,12,1,01611920108670
25,01,61192,0000000,Alameda,Hayward Unified,N/A,Unified School District,,,,N/A,,,,,17377,13621,40,0,281,329,7590,13710,5422,14440,Y,,,,,,,,1,01611920000000
25,01,61200,0000000,Alameda,Livermore Valley Joint Unified,N/A,Unified School District,,,,N/A,,,,,12968,2500,22,0,140,91,2134,2633,1200,3099,Y,,,,,,,,1,01612000000000
25,01,61218,0000000,Alameda,Mountain House Elementary,N/A,Elementary School District,,,,N/A,,,,,14,0,0,0,0,0,2,2,3,5,Y,,,,,,,,1,01612180000000
25,01,61234,0000000,Alameda,Newark Unified,N/A,Unified School District,,,,N/A,,,,,4666,1902,9,0,221,27,1274,1932,992,2279,Y,,,,,,,,1,01612340000000
25,01,61242,0000000,Alameda,New Haven Unified,N/A,Unified School District,,,,N/A,,,,,10069,5510,19,0,122,113,2684,5765,1614,6157,Y,,,,,,,,1,01612420000000
25,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0780,Directly funded,Y,K,5,537,508,3,0,1,0,339,516,416,529,Y,1,6,10,1,1,14,5,1,01612590111476
25,01,61259,0111856,Alameda,Oakland Unified,AIMS College Prep High,Unified School District,High Schools (Public),Traditional,Yes,0765,Directly funded,Y,9,12,386,236,1,0,0,0,184,244,69,268,Y,1,7,10,1,1,9,12,1,01612590111856
25,01,61259,6113807,Alameda,Oakland Unified,AIMS College Prep Middle,Unified School District,Junior High Schools (Public),Traditional,Yes,0106,Directly funded,Y,6,8,200,143,0,0,0,0,112,155,46,165,Y,1,10,10,1,1,6,8,1,01612596113807
25,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter School II,Unified School District,Elementary Schools (Public),Traditional,Yes,0882,Directly funded,Y,K,8,617,438,0,0,0,0,330,453,137,487,Y,1,6,10,1,1,14,8,1,01612590114363
25,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,Yes,0837,Directly funded,Y,9,12,396,345,0,0,0,0,175,352,154,365,Y,1,7,10,1,1,9,12,1,01612590115238
25,01,61259,6118608,Alameda,Oakland Unified,ASCEND,Unified School District,Elementary Schools (Public),Traditional,Yes,1443,Directly funded,Y,K,8,493,447,0,0,0,0,282,450,266,469,Y,1,6,10,1,1,14,8,1,01612596118608
25,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0726,Directly funded,Y,K,8,514,443,1,0,10,0,282,444,80,452,Y,1,6,10,1,1,14,8,1,01612590109819
25,01,61259,0128413,Alameda,Oakland Unified,Aspire College Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,1577,Directly funded,Y,K,5,206,198,0,0,7,0,129,198,94,202,Y,1,6,10,1,1,14,5,1,01612590128413
25,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,Yes,1023,Directly funded,Y,6,12,405,380,0,0,4,0,212,380,105,382,Y,1,12,10,1,1,6,12,1,01612590118224
25,01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,Yes,0465,Directly funded,Y,6,12,392,339,0,0,19,0,190,340,71,346,Y,1,12,10,1,1,6,12,1,01612590130666
25,01,61259,6117568,Alameda,Oakland Unified,Aspire Monarch Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0252,Directly funded,Y,K,5,374,318,0,0,13,0,171,318,226,340,Y,1,6,10,1,1,14,5,1,01612596117568
25,01,61259,0130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,1663,Directly funded,Y,K,5,217,205,7,0,13,0,153,205,48,206,Y,1,6,10,1,1,14,5,1,01612590130732
25,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,Yes,0661,Directly funded,Y,6,12,255,218,0,0,6,0,137,221,59,228,Y,1,12,10,1,1,6,12,1,01612590106906
25,01,61259,0129635,Alameda,Oakland Unified,Downtown Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Yes,1661,Directly funded,Y,6,8,305,230,0,0,0,0,172,230,61,236,Y,1,9,10,1,1,6,8,1,01612590129635
25,01,61259,0129932,Alameda,Oakland Unified,East Bay Innovation Academy,Unified School District,K-12 Schools (Public),Traditional,Yes,1620,Directly funded,Y,6,12,451,174,0,0,0,0,133,184,48,201,Y,1,12,10,1,1,6,12,1,01612590129932
25,01,61259,0132514,Alameda,Oakland Unified,Francophone Charter School of Oakland,Unified School District,Elementary Schools (Public),Traditional,Yes,1708,Directly funded,Y,K,8,324,118,0,0,3,0,79,123,52,139,Y,1,6,10,1,1,14,8,1,01612590132514
25,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0938,Directly funded,Y,K,8,520,465,1,0,18,0,341,470,127,475,Y,1,6,10,1,1,14,8,1,01612590115014
25,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,Yes,1442,Directly funded,Y,K,5,335,307,1,0,4,0,185,312,167,321,Y,1,6,10,1,1,14,5,1,01612590115592
25,01,61259,0130633,Alameda,Oakland Unified,Lighthouse Community Charter,Unified School District,Elementary Schools (Public),Traditional,Yes,0413,Directly funded,Y,K,8,549,489,0,0,17,0,270,506,245,519,Y,1,6,10,1,1,14,8,1,01612590130633
25,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,Yes,0700,Directly funded,Y,9,12,281,256,0,0,6,0,132,261,98,264,Y,1,7,10,1,1,9,12,1,01612590108944
25,01,61259,0134015,Alameda,Oakland Unified,Lodestar: A Lighthouse Community Charter Public,Unified School District,K-12 Schools (Public),Traditional,Yes,1783,Directly funded,Y,K,12,722,680,1,0,27,0,338,699,320,705,Y,1,12,10,1,1,14,12,1,01612590134015
25,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,Unified School District,High Schools (Public),Traditional,Yes,1449,Directly funded,Y,9,12,173,125,0,0,0,0,79,127,59,144,Y,1,7,10,1,1,9,12,1,01612590126748
25,01,61259,6111660,Alameda,Oakland Unified,Oakland Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,Yes,0014,Directly funded,Y,6,8,222,188,0,0,0,0,109,188,127,207,Y,1,9,10,1,1,6,8,1,01612596111660
25,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,Yes,0883,Directly funded,Y,9,12,330,269,0,0,0,0,167,276,115,289,Y,1,7,10,1,1,9,12,1,01612590114868
25,01,61259,0130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",Unified School District,K-12 Schools (Public),Traditional,Yes,0349,Directly funded,Y,6,12,480,431,1,0,9,0,233,433,167,441,Y,1,12,10,1,1,6,12,1,01612590130617
25,01,61259,3030772,Alameda,Oakland Unified,Oakland School for the Arts,Unified School District,K-12 Schools (Public),Traditional,Yes,0340,Directly funded,Y,6,12,828,236,0,0,1,0,197,238,6,242,Y,1,12,10,1,1,6,12,1,01612593030772
25,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,Yes,0510,Directly funded,Y,9,12,295,207,0,0,0,0,123,215,60,221,Y,1,7,10,1,1,9,12,1,01612590100065
