year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,,Yes,0684,Directly funded,Y,9,12,601,350,0,0,0,116,351,48,364,Y,1,7,10,,1,1,9,12,1,01611920108670
20,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Yes,1067,Directly funded,Y,1,8,274,22,0,1,0,39,57,23,70,Y,1,6,10,,1,1,1,8,1,01611920119248
20,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Yes,1514,Directly funded,Y,K,8,584,261,0,0,0,178,305,231,391,Y,1,6,10,,1,1,14,8,1,01611920127696
20,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,Not Participating,Yes,1543,Directly funded,Y,9,12,219,122,0,1,2,56,125,31,129,Y,1,7,10,,1,1,9,12,1,01611920127944
20,01,61192,0137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,K-12 Schools (Public),Traditional,,Yes,0836,Directly funded,Y,6,12,844,468,0,0,0,231,504,114,532,Y,1,12,10,,1,1,6,12,1,01611920137646
20,01,61200,0000000,Alameda,Livermore Valley Joint Unified,,Unified School District,,,,,,,,,,13698,3235,20,97,176,1966,3284,1451,3712,Y,,,,,,,,,1,01612000000000
20,01,61218,0000000,Alameda,Mountain House Elementary,,Elementary School District,,,,,,,,,,15,12,0,0,0,5,12,5,12,Y,,,,,,,,,1,01612180000000
20,01,61234,0000000,Alameda,Newark Unified,,Unified School District,,,,,,,,,,5631,2488,11,248,76,1301,2597,1113,2958,Y,,,,,,,,,1,01612340000000
20,01,61242,0000000,Alameda,New Haven Unified,,Unified School District,,,,,,,,,,11006,4986,12,74,136,2273,5035,2195,5844,Y,,,,,,,,,1,01612420000000
20,01,61259,0000000,Alameda,Oakland Unified,,Unified School District,,,,,,,,,,36110,25618,146,898,15,14545,25737,11861,27383,Y,,,,,,,,,1,01612590000000
20,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,,Yes,0510,Directly funded,Y,9,12,355,303,0,0,0,129,308,76,313,Y,1,7,10,,1,1,9,12,1,01612590100065
20,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,,Yes,0661,Directly funded,Y,6,12,289,155,2,27,0,98,183,55,205,Y,1,12,10,,1,1,6,12,1,01612590106906
20,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,,Yes,0700,Directly funded,Y,9,12,289,239,2,0,0,98,244,66,251,Y,1,7,10,,1,1,9,12,1,01612590108944
20,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,0726,Directly funded,Y,K,8,569,418,3,0,0,241,426,75,437,Y,1,6,10,,1,1,14,8,1,01612590109819
20,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,0780,Directly funded,Y,K,5,649,512,1,11,0,269,519,455,600,Y,1,6,10,,1,1,14,5,1,01612590111476
20,01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,Unified School District,High Schools (Public),Traditional,,Yes,0765,Directly funded,Y,9,12,419,172,0,0,0,191,250,62,278,Y,1,7,10,,1,1,9,12,1,01612590111856
20,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter II,Unified School District,Elementary Schools (Public),Traditional,,Yes,0882,Directly funded,Y,K,8,650,515,0,0,0,332,516,209,544,Y,1,6,10,,1,1,14,8,1,01612590114363
20,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,,Yes,0883,Directly funded,Y,9,12,461,358,2,8,0,177,382,58,391,Y,1,7,10,,1,1,9,12,1,01612590114868
20,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,0938,Directly funded,Y,K,8,540,429,3,35,0,302,439,130,449,Y,1,9,10,,1,1,14,8,1,01612590115014
20,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,,Yes,0837,Directly funded,Y,9,12,369,295,2,0,1,133,301,64,309,Y,1,7,10,,1,1,9,12,1,01612590115238
20,01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,Unified School District,High Schools (Public),Traditional,,Yes,0948,Directly funded,Y,9,Adult,51,48,0,4,0,13,48,13,49,Y,1,7,10,,1,1,9,14,1,01612590115386
20,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,,Yes,1442,Directly funded,Y,K,5,422,373,1,10,0,204,380,181,393,Y,1,6,10,,1,1,14,5,1,01612590115592
20,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,1023,Directly funded,Y,6,12,611,554,1,2,0,273,554,134,566,Y,1,12,10,,1,1,6,12,1,01612590118224
20,01,61259,0120188,Alameda,Oakland Unified,Aspire ERES Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1115,Directly funded,Y,K,8,238,221,1,0,0,121,223,96,225,Y,1,6,10,,1,1,14,8,1,01612590120188
20,01,61259,0123711,Alameda,Oakland Unified,Vincent Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1271,Directly funded,Y,K,5,217,97,1,2,0,126,187,47,189,Y,1,6,10,,1,1,14,5,1,01612590123711
20,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,Unified School District,High Schools (Public),Traditional,Provision 2,Yes,1449,Directly funded,Y,9,12,498,458,2,19,0,188,462,188,480,Y,1,7,10,5,1,1,9,12,1,01612590126748
20,01,61259,0128413,Alameda,Oakland Unified,Aspire College Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1577,Directly funded,Y,K,5,293,255,3,0,0,140,257,101,267,Y,1,6,10,,1,1,14,5,1,01612590128413
20,01,61259,0129635,Alameda,Oakland Unified,Downtown Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,1661,Directly funded,Y,6,8,326,232,0,1,0,156,250,42,256,Y,1,9,10,,1,1,6,8,1,01612590129635
20,01,61259,0129932,Alameda,Oakland Unified,East Bay Innovation Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,1620,Directly funded,Y,6,12,620,177,0,0,0,109,192,39,207,Y,1,12,10,,1,1,6,12,1,01612590129932
20,01,61259,0130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",Unified School District,K-12 Schools (Public),Traditional,,Yes,0349,Directly funded,Y,6,12,661,396,2,1,0,290,421,172,468,Y,1,12,10,,1,1,6,12,1,01612590130617
20,01,61259,0130633,Alameda,Oakland Unified,Lighthouse Community Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,0413,Directly funded,Y,K,8,507,420,2,0,0,183,426,268,457,Y,1,6,10,,1,1,14,8,1,01612590130633
20,01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,0465,Directly funded,Y,6,12,524,451,0,13,0,187,454,124,472,Y,1,12,10,,1,1,6,12,1,01612590130666
20,01,61259,0130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1663,Directly funded,Y,K,5,293,273,0,5,0,157,275,56,277,Y,1,6,10,,1,1,14,5,1,01612590130732
20,01,61259,0131896,Alameda,Oakland Unified,Roses in Concrete,Unified School District,Elementary Schools (Public),Traditional,,Yes,1713,Directly funded,Y,K,8,224,93,1,7,0,75,108,29,119,Y,1,6,10,,1,1,14,8,1,01612590131896
20,01,61259,0132514,Alameda,Oakland Unified,Francophone Charter School of Oakland,Unified School District,Elementary Schools (Public),Traditional,,Yes,1708,Directly funded,Y,K,8,289,31,0,0,0,46,69,35,92,Y,1,6,10,,1,1,14,8,1,01612590132514
20,01,61259,0132555,Alameda,Oakland Unified,Conservatory of Vocal/Instrumental Arts High,Unified School District,High Schools (Public),Traditional,,Yes,1745,Directly funded,Y,9,12,86,39,1,0,0,35,40,6,41,Y,1,7,10,,1,1,9,12,1,01612590132555
20,01,61259,0134015,Alameda,Oakland Unified,Lodestar: A Lighthouse Community Charter Public,Unified School District,K-12 Schools (Public),Traditional,,Yes,1783,Directly funded,Y,K,12,608,480,1,0,0,172,480,234,502,Y,1,12,10,,1,1,14,12,1,01612590134015
