year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,1514,Directly funded,Y,K,8,628,483,0,0,0,0,292,492,251,532,Y,1,6,10,1,1,14,8,1,01611920127696
24,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,Yes,0684,Directly funded,Y,9,12,557,315,0,0,0,0,166,320,60,329,Y,1,7,10,1,1,9,12,1,01611920108670
24,01,61192,0000000,Alameda,Hayward Unified,,Unified School District,,,,,,,,,17628,13848,43,0,563,302,7567,13934,5306,14653,Y,,,,,,,,1,01611920000000
24,01,61200,0000000,Alameda,Livermore Valley Joint Unified,,Unified School District,,,,,,,,,13019,2946,23,0,162,94,2129,3057,1241,3529,Y,,,,,,,,1,01612000000000
24,01,61218,0000000,Alameda,Mountain House Elementary,,Elementary School District,,,,,,,,,12,2,0,0,0,0,5,6,6,8,Y,,,,,,,,1,01612180000000
24,01,61234,0000000,Alameda,Newark Unified,,Unified School District,,,,,,,,,4828,2301,19,0,172,29,1324,2313,1029,2641,Y,,,,,,,,1,01612340000000
24,01,61242,0000000,Alameda,New Haven Unified,,Unified School District,,,,,,,,,10045,5534,18,0,156,62,2610,5608,1765,6092,Y,,,,,,,,1,01612420000000
24,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0780,Directly funded,Y,K,5,541,486,3,0,1,0,316,497,435,531,Y,1,6,10,1,1,14,5,1,01612590111476
24,01,61259,0111856,Alameda,Oakland Unified,AIMS College Prep High,Unified School District,High Schools (Public),Traditional,Yes,0765,Directly funded,Y,9,12,368,261,2,0,0,0,203,274,71,290,Y,1,7,10,1,1,9,12,1,01612590111856
24,01,61259,6113807,Alameda,Oakland Unified,AIMS College Prep Middle,Unified School District,Junior High Schools (Public),Traditional,Yes,0106,Directly funded,Y,6,8,212,152,0,0,0,0,110,165,63,173,Y,1,10,10,1,1,6,8,1,01612596113807
24,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter School II,Unified School District,Elementary Schools (Public),Traditional,Yes,0882,Directly funded,Y,K,8,628,462,1,0,0,0,365,484,172,517,Y,1,6,10,1,1,14,8,1,01612590114363
24,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,Yes,0837,Directly funded,Y,9,12,400,345,1,0,0,0,185,357,133,370,Y,1,7,10,1,1,9,12,1,01612590115238
24,01,61259,6118608,Alameda,Oakland Unified,ASCEND,Unified School District,Elementary Schools (Public),Traditional,Yes,1443,Directly funded,Y,K,8,481,409,0,0,0,0,273,421,291,452,Y,1,6,10,1,1,14,8,1,01612596118608
24,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,0726,Directly funded,Y,K,8,497,411,0,0,4,0,269,416,85,421,Y,1,6,10,1,1,14,8,1,01612590109819
24,01,61259,0128413,Alameda,Oakland Unified,Aspire College Academy,Unified School District,Elementary Schools (Public),Traditional,Yes,1577,Directly funded,Y,K,5,203,188,0,0,7,0,123,189,103,194,Y,1,6,10,1,1,14,5,1,01612590128413
24,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,Yes,1023,Directly funded,Y,6,12,436,398,4,0,7,0,219,405,121,411,Y,1,12,10,1,1,6,12,1,01612590118224
