year,ed_option_type,ed_option_type_num
24,Alternative School of Choice,1
24,Community Day School,2
24,Continuation School,3
24,County Community School,4
24,District Special Education Consortia School,5
24,Home and Hospital,6
24,Juvenile Court School,7
24,Opportunity School,8
24,Special Education School,9
24,Traditional,10
