year,school_type,school_type_num
23,Alternative Schools of Choice,1
23,Continuation High Schools,2
23,County Community,3
23,District Community Day Schools,4
23,Elemen Schools In 1 School Dist. (Public),5
23,Elementary Schools (Public),6
23,High Schools (Public),7
23,High Schools In 1 School Dist. (Public),8
23,Intermediate/Middle Schools (Public),9
23,Junior High Schools (Public),10
23,Juvenile Court Schools,11
23,K-12 Schools (Public),12
23,Opportunity Schools,13
23,Special Education Schools (Public),14
23,Preschool,15
