year,school_code,school_name
23,1,"Nonpublic, Nonsectarian Schools"
23,100016,Sherman Thomas Charter
23,100024,Oak Meadow Elementary
23,100040,Robert L. McCaffrey Middle
23,100057,Plumas County Community
23,100065,Oakland Unity High
23,100081,William J. (Pete) Knight High
23,100107,Vista Grande Elementary
23,100115,Montera Elementary
23,100156,Lemoore University Elementary Charter
23,100164,Dr. Reynaldo J. Carreon Jr. Academy
23,100180,Mountain Oaks High
23,100198,Golden Valley High
23,100206,George W. Bush Elementary
23,100248,Las Palmitas Elementary
23,100255,Desert Mirage High
23,100263,Toro Canyon Middle
23,100289,N.E.W. Academy of Science and Arts
23,100347,Almond Elementary
23,100354,Hawthorne Math and Science Academy
23,100362,Thurgood Marshall Elementary
23,100388,Tierra Pacifica Charter
23,100404,Sandra J. Gallardo Elementary
23,100412,Monte Vista Elementary
23,100420,Vista Murrieta High
23,100461,Lone Tree Elementary
23,100479,Dallas Ranch Middle
23,100487,Norwood Junior High
23,100495,Los Tules Middle
23,100503,Freedom Crest Elementary
23,100511,Lilac
23,100529,Cesar E. Chavez High
23,100537,Andros Karperos
23,100545,Lake Mathews Elementary
23,100560,Lois E. Borchardt Elementary
23,100578,Edwin Rhodes Elementary
23,100586,Michael G. Wickman Elementary
23,100594,Liberty Elementary
23,100602,"Lennox Mathematics, Science and Technology Academy"
23,100610,Dolores Huerta Elementary
23,100636,Pico Canyon Elementary
23,100644,Dr. J. Michael McGrath Elementary
23,100651,Mission Valley
23,100669,Stella Middle Charter Academy
23,100677,High Tech LA
23,100685,Valle Verde Elementary
23,100701,MetWest High
23,100735,Canyon Vista Elementary
23,100743,Accelerated Charter Elementary
23,100750,Wallis Annenberg High
23,100776,North Valley Military Institute College Preparatory Academy
23,100792,Think College Now Elementary
23,100800,Central City Value
23,100867,KIPP Los Angeles College Preparatory
23,100883,Vista del Mar Elementary
23,100891,Vista del Mar Middle
23,100909,Ladera Ranch Elementary
23,100917,Ladera Ranch Middle
23,100925,T.H.E Leadership Academy
23,100933,Hannalei Elementary
23,100941,Lakeside Middle
23,100958,Sierra Vista Elementary
23,100966,El Cerrito Middle
23,100974,Clara Barton Elementary
23,100982,Temescal Valley Elementary
23,100990,Solorsano Middle
23,101006,Sundance Elementary
23,101014,McKee Middle
23,101022,Rio Norte Junior High
23,101030,Fox Road Elementary
23,101048,St. HOPE Public School 7
23,101097,French Valley Elementary
23,101105,Erle Stanley Gardner Middle
23,101113,Columbia-East Valley K-6 Community Day
23,101121,McSweeny Elementary
23,101139,Harmony Elementary
23,101147,Grace Hudson Elementary
23,101154,Alice C. Stelle Middle
23,101162,Pioneer High
23,101170,California Military Institute
23,101188,Hunt Elementary
23,101196,ICEF View Park Preparatory High
23,101204,High Tech Middle
23,101212,KIPP Summit Academy
23,101253,Jack London Elementary
23,101295,Sol Aureus College Preparatory
23,101329,William J. Johnston Community Day
23,101337,KIPP Bayview Academy
23,101345,KIPP Adelante Preparatory Academy
23,101352,KIPP San Francisco Bay Academy
23,101360,Integrity Charter
23,101378,Las Colinas Middle
23,101402,Atwater Senior Academy
23,101410,Oak View High School & Education Center
23,101444,KIPP Academy of Opportunity
23,101477,Leadership Public Schools: Richmond
23,101493,Norman N. Glick Middle
23,101519,Pleasant Grove Middle
23,101535,Heritage K-8 Charter
23,101543,Esperanza Elementary
23,101576,Weston Ranch High
23,101592,Hedenkamp (Anne and William) Elementary
23,101600,Northlake Hills Elementary
23,101618,Richard Riordan Primary Center
23,101626,Edward B. Cole Academy
23,101659,"CATCH Prep Charter High, Inc."
23,101667,Wilder's Preparatory Academy Charter
23,101675,Oscar De La Hoya Animo Charter High
23,101683,Renaissance Arts Academy
23,101717,Crossroads Charter Academy
23,101725,Grizzly ChalleNGe Charter
23,101766,Community Outreach Academy
23,101774,Five Keys Charter (SF Sheriff's)
23,101790,Edna Batey Elementary
23,101816,Green Valley Independent Study
23,101832,Futures High
23,101857,Oak Grove Elementary
23,101881,New Technology High
23,101899,George Washington Carver School of Arts and Science
23,101907,The MET
23,101923,Roseland Charter
23,101949,Clovis Community Day Elementary
23,101956,Aspire Benjamin Holt College Preparatory Academy
23,101964,Napa Valley Independent Studies
23,101972,Rosemont High
23,102038,Sacramento Charter High
23,102079,Murrieta Canyon Academy
23,102103,Jordan (June) School for Equity
23,102129,Carpinteria Family
23,102137,Aggeler Community Day
23,102178,Future Bound Independent Study Secondary
23,102186,Ronald Reagan Academy
23,102236,Inderkum High
23,102269,Yellen Learning Center
23,102277,Witter Ranch Elementary
23,102285,Pioneer Valley High
23,102293,Foresthill High
23,102301,Woodson Elementary
23,102327,Plumas Avenue Elementary
23,102335,Ocean Charter
23,102343,Aspire Capitol Heights Academy
23,102368,Ann Sobrato High
23,102376,Pioneer Elementary
23,102384,Primary Charter
23,102392,Millennium Charter
23,102426,PUC Milagro Charter
23,102434,Animo South Los Angeles Charter
23,102442,PUC Lakeview Charter Academy
23,102459,Golden Valley High
23,102467,Rancho Pico Junior High
23,102475,West Ranch High
23,102483,N.E.W. Academy Canoga Park
23,102491,Dr. Theodore T. Alexander Jr. Science Center
23,102509,Wayne Ruble Middle
23,102517,Dorothy Grant Innovations Academy
23,102525,Spring Lake Charter
23,102533,Santa Rosa Accelerated Charter
23,102541,New Designs Charter
23,102558,Beattie Middle
23,102566,Hidden Hills Elementary
23,102574,Santa Fe Elementary
23,102582,Robert C. Fisler Elementary
23,102590,Bear Valley Middle
23,102608,Farr Avenue Elementary
23,102616,Carolyn A. Clark Elementary
23,102624,Lorena Falasco Elementary
23,102632,Ansel Adams
23,102640,Millswood Middle
23,102657,Christa McAuliffe Middle
23,102665,Radcliff Elementary
23,102673,Landmark Elementary
23,102681,Leona Jackson
23,102707,John F. Kennedy Elementary
23,102715,Estudillo Elementary
23,102723,"Clayton A. Record, Jr., Elementary"
23,102731,TownGate Elementary
23,102749,Brookside Elementary
23,102764,Richard A. Alonzo Community Day
23,102772,Cawston Elementary
23,102780,Diamond Valley Middle
23,102798,Thomas Jefferson Elementary
23,102806,Blue Oaks Elementary
23,102822,Stone Ranch Elementary
23,102830,Wilmer Amina Carter High
23,102848,Sanchez (David J.) Elementary
23,102855,Kunst (Tommie) Junior High
23,102863,Liberty Elementary
23,102871,Arnold O. Beckman High
23,102889,Hicks Canyon Elementary
23,102897,Melrose Elementary
23,102913,Middle College High
23,102921,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy
23,102939,Etiwanda Colony Elementary
23,102947,Day Creek Intermediate
23,102988,EnCompass Academy Elementary
23,105684,San Elijo Middle
23,105692,A. L. Conner Elementary
23,105700,Mary Lou Dieterich Elementary
23,105718,Anthony C. Traina Elementary
23,105726,Mission Hills High
23,105734,Great Oak High
23,105742,Alamos Elementary
23,105759,Bella Vista Middle
23,105767,Rio Vista Elementary
23,105783,Four Creeks Elementary
23,105791,Dwight D. Eisenhower Elementary
23,105809,Harada Elementary
23,105817,Harmony Elementary
23,105825,Solana Pacific Elementary
23,105858,Pajaro Valley High
23,105866,Woodland Star Charter
23,105874,Ortega Elementary
23,105882,Foothill Oak Elementary
23,105890,Mark West Charter
23,105908,Arlene Hein Elementary
23,105916,Monterey Trail High
23,105924,"Edward Harris, Jr. Middle"
23,105932,Roy Herburger Elementary
23,105940,Alessandro
23,105957,Liberty Elementary
23,105965,Salt Creek Elementary
23,105973,Walter Woodward Elementary
23,105981,"Desert Willow Fine Arts, Science and Technology Magnet Academy"
23,106005,Village
23,106013,University Preparatory
23,106021,Freedom Elementary
23,106047,Blue Ridge
23,106062,San Gorgonio Middle
23,106070,Endeavour Middle
23,106088,Delta View Elementary
23,106096,Columbia Elementary
23,106112,Pinnacles High
23,106120,SIATech
23,106153,Eel River Community
23,106161,Eureka Community
23,106179,Southern Humboldt Community
23,106203,Humboldt County Office of Education Juvenile Hall Court
23,106229,Palmiter Special Education
23,106237,Elinor Lincoln Hickey Jr./Sr. High
23,106245,North Area Community
23,106278,El Centro Jr./Sr. High
23,106294,Foundations Academy
23,106328,Canyon Crest Academy
23,106336,Frank Ledesma Elementary
23,106344,Northwest Prep Charter
23,106351,Ivy Academia
23,106401,Alameda Science and Technology Institute
23,106419,James S. Fugman Elementary
23,106427,Synergy Charter Academy
23,106443,Twelve Bridges Elementary
23,106450,Regency Park Elementary
23,106476,Central Elementary
23,106484,Wicklund Elementary
23,106518,Merced Scholars Charter
23,106534,Bullis Charter
23,106567,Nova Academy Early College High
23,106575,Harvest Elementary
23,106583,Carmen Dragon Elementary
23,106625,Elk Creek
23,106633,KIPP Heartwood Academy
23,106641,Challenger School of Sports and Fitness
23,106674,Frances Ellen Watkins Harper Junior High
23,106690,Shirley Lane Elementary
23,106716,Hamilton
23,106732,High Tech High International
23,106740,Aspen Valley Prep Academy
23,106757,Folsom Cordova K-8 Community Charter
23,106765,California Connections Academy Southern California
23,106799,Learning Choice Academy
23,106807,Alder Creek Middle
23,106815,Thomas Law Reed Elementary
23,106831,Animo Venice Charter High
23,106849,Animo Pat Brown
23,106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
23,106872,Bert Corona Charter
23,106880,Jardin de la Infancia
23,106898,The Language Academy of Sacramento
23,106906,Bay Area Technology
23,106914,Bellingham Elementary
23,106922,Maple Primary Center
23,106930,Stanford Primary Center
23,106948,Charles White Elementary
23,106955,Harmony Elementary
23,106971,Vista Middle
23,106989,Southeast Middle
23,106997,Orthopaedic Hospital
23,107003,Northridge Academy High
23,107011,International Studies Learning Center at Legacy High School Complex
23,107078,Kearny Digital Media & Design
23,107086,Kearny School of Biomedical Science and Technology
23,107094,Kearny College Connections
23,107102,Kearny Eng Innov & Design
23,107110,Six Rivers Charter High
23,107128,Whitmore Charter School of Art & Technology
23,107136,Whitmore Charter High
23,107151,"Escuela Popular/Center for Training and Careers, Family Learning"
23,107177,Crawford High
23,107219,San Diego High
23,107227,Charter Montessori Valley View Campus
23,107250,Potter Valley Junior High
23,107284,California Virtual Academy @ Sonoma
23,107292,King City Arts Magnet
23,107300,City Arts & Leadership Academy
23,107318,Twin Rivers Charter
23,107334,Central County Special Education Programs
