year,school_type,school_type_num
23,County Community,3
23,Elemen Schools In 1 School Dist. (Public),5
23,Elementary Schools (Public),6
23,High Schools (Public),7
23,High Schools In 1 School Dist. (Public),8
23,Intermediate/Middle Schools (Public),9
23,Junior High Schools (Public),10
23,Juvenile Court Schools,11
23,K-12 Schools (Public),12
