year,school_code,school_name
24,1,"Nonpublic, Nonsectarian Schools"
24,100016,Sherman Thomas Charter
24,100024,Oak Meadow Elementary
24,100040,Robert L. McCaffrey Middle
24,100057,Plumas County Community
24,100065,Oakland Unity High
24,100081,William J. (Pete) Knight High
24,100107,Vista Grande Elementary
24,100115,Montera Elementary
24,100156,Lemoore University Elementary Charter
24,100164,Dr. Reynaldo J. Carreon Jr. Academy
24,100180,Mountain Oaks High
24,100198,Golden Valley High
24,100206,George W. Bush Elementary
24,100248,Las Palmitas Elementary
24,100255,Desert Mirage High
24,100263,Toro Canyon Middle
24,100289,N.E.W. Academy of Science and Arts
24,100347,Almond Elementary
24,100354,Hawthorne Math and Science Academy
24,100362,Thurgood Marshall Elementary
24,100388,Tierra Pacifica Charter
24,100404,Sandra J. Gallardo Elementary
24,100412,Monte Vista Elementary
24,100420,Vista Murrieta High
24,100461,Lone Tree Elementary
24,100479,Dallas Ranch Middle
24,100487,Norwood Junior High
24,100495,Los Tules Middle
24,100503,Freedom Crest Elementary
24,100511,Lilac
24,100529,Cesar E. Chavez High
24,100537,Andros Karperos
24,100545,Lake Mathews Elementary
24,100560,Lois E. Borchardt Elementary
24,100578,Edwin Rhodes Elementary
24,100586,Michael G. Wickman Elementary
24,100594,Liberty Elementary
24,100602,"Lennox Mathematics, Science and Technology Academy"
24,100610,Dolores Huerta Elementary
24,100636,Pico Canyon Elementary
24,100644,Dr. J. Michael McGrath Elementary
24,100651,Mission Valley
24,100669,Stella Middle Charter Academy
24,100677,High Tech LA
24,100685,Valle Verde Elementary
24,100701,MetWest High
24,100735,Canyon Vista Elementary
24,100743,Accelerated Charter Elementary
24,100750,Wallis Annenberg High
24,100792,Think College Now Elementary
24,100800,Central City Value
24,100867,KIPP Los Angeles College Preparatory
24,100883,Vista del Mar Elementary
24,100891,Vista del Mar Middle
24,100909,Ladera Ranch Elementary
24,100917,Ladera Ranch Middle
24,100925,T.H.E Leadership Academy
24,100933,Hannalei Elementary
24,100941,Lakeside Middle
24,100958,Sierra Vista Elementary
24,100966,El Cerrito Middle
24,100974,Clara Barton Elementary
24,100982,Temescal Valley Elementary
24,100990,Solorsano Middle
24,101006,Sundance Elementary
24,101014,McKee Middle
24,101022,Rio Norte Junior High
24,101030,Fox Road Elementary
24,101048,St. HOPE Public School 7
24,101097,French Valley Elementary
24,101105,Erle Stanley Gardner Middle
24,101113,Columbia-East Valley K-6 Community Day
24,101121,McSweeny Elementary
24,101139,Harmony Elementary
24,101147,Grace Hudson Elementary
24,101154,Alice C. Stelle Middle
24,101162,Pioneer High
24,101170,California Military Institute
24,101188,Hunt Elementary
24,101196,ICEF View Park Preparatory High
24,101204,High Tech Middle
24,101212,KIPP Summit Academy
24,101253,Jack London Elementary
24,101295,Sol Aureus College Preparatory
24,101329,William J. Johnston Community Day
24,101337,KIPP Bayview Academy
24,101345,KIPP Adelante Preparatory Academy
24,101352,KIPP San Francisco Bay Academy
24,101360,Integrity Charter
24,101378,Las Colinas Middle
24,101402,Atwater Senior Academy
24,101410,Oak View High School & Education Center
24,101444,KIPP Academy of Opportunity
24,101477,Leadership Public Schools: Richmond
24,101493,Norman N. Glick Middle
24,101519,Pleasant Grove Middle
24,101535,Heritage K-8 Charter
24,101543,Esperanza Elementary
24,101576,Weston Ranch High
24,101592,Hedenkamp (Anne and William) Elementary
24,101600,Northlake Hills Elementary
24,101618,Richard Riordan Primary Center
24,101626,Edward B. Cole Academy
24,101659,"CATCH Prep Charter High, Inc."
24,101667,Wilder's Preparatory Academy Charter
24,101675,Oscar De La Hoya Animo Charter High
24,101683,Renaissance Arts Academy
24,101717,Crossroads Charter Academy
24,101725,Grizzly ChalleNGe Charter
24,101766,Community Outreach Academy
24,101774,Five Keys Charter (SF Sheriff's)
24,101790,Edna Batey Elementary
24,101816,Green Valley Independent Study
24,101832,Futures High
