year,ed_option_type,ed_option_type_num
22,Alternative School of Choice,1
22,Community Day School,2
22,Continuation School,3
22,County Community School,4
22,District Special Education Consortia School,5
22,Home and Hospital,6
22,Juvenile Court School,7
22,Opportunity School,8
22,Special Education School,9
22,Traditional,10
