year,district_code,district_name
21,71068,Denair Unified
21,67041,Desert Center Unified
21,67058,Desert Sands Unified
21,63420,Di Giorgio Elementary
21,75531,Dinuba Unified
21,70532,Dixon Unified
21,75317,Dos Palos Oro Loma Joint Unified
21,71696,Douglas City Elementary
21,64451,Downey Unified
21,66803,Dry Creek Joint Elementary
21,64469,Duarte Unified
21,75093,Dublin Unified
21,71894,Ducor Union Elementary
21,70672,Dunham Elementary
21,70243,Dunsmuir Elementary
21,70250,Dunsmuir Joint Union High
21,61432,Durham Unified
21,71902,Earlimart Elementary
21,71373,East Nicolaus Joint Union High
21,69427,East Side Union High
21,64485,East Whittier City Elementary
21,73668,Eastern Sierra Unified
21,64477,Eastside Union Elementary
21,63438,Edison Elementary
21,63123,El Centro Elementary
21,10090,El Dorado County Office of Education
21,61853,El Dorado Union High
21,64501,El Monte City
21,64519,El Monte Union High
21,65680,El Nido Elementary
21,64527,El Rancho Unified
21,64535,El Segundo Unified
21,75168,El Tejon Unified
21,67314,Elk Grove Unified
21,63446,Elk Hills Elementary
21,67322,Elverta Joint Elementary
21,61168,Emery Unified
21,71076,Empire Union Elementary
21,68080,Encinitas Union Elementary
21,69971,Enterprise Elementary
21,68502,Escalon Unified
21,68098,Escondido Union
21,68106,Escondido Union High
21,72686,Esparto Unified
21,67702,Etiwanda Elementary
21,75515,Eureka City Schools
21,66829,Eureka Union
21,69435,Evergreen Elementary
21,71522,Evergreen Union
21,76836,Exeter Unified
21,63461,Fairfax Elementary
21,70540,Fairfield-Suisun Unified
21,69989,Fall River Joint Unified
21,68114,Fallbrook Union Elementary
21,68122,Fallbrook Union High
21,75325,Farmersville Unified
21,75374,Ferndale Unified
21,62794,Fieldbrook Elementary
21,72454,Fillmore Unified
21,73809,Firebaugh-Las Deltas Unified
21,71530,Flournoy Union Elementary
21,67330,Folsom-Cordova Unified
21,67710,Fontana Unified
21,66837,Foresthill Union Elementary
21,70680,Forestville Union Elementary
21,70292,Forks of Salmon Elementary
21,65565,Fort Bragg Unified
21,70698,Fort Ross Elementary
21,75036,Fort Sage Unified
21,76802,Fortuna Elementary
21,62810,Fortuna Union High
21,66498,Fountain Valley Elementary
21,62158,Fowler Unified
21,71381,Franklin Elementary
21,69450,Franklin-McKinley Elementary
21,61176,Fremont Unified
21,69468,Fremont Union High
21,69997,French Gulch-Whiskeytown Elementary
21,62828,Freshwater Elementary
21,10108,Fresno County Office of Education
21,62166,Fresno Unified
21,63479,Fruitvale Elementary
21,66506,Fullerton Elementary
21,66514,Fullerton Joint Union High
21,67348,Galt Joint Union Elementary
21,67355,Galt Joint Union High
21,66522,Garden Grove Unified
21,62836,Garfield Elementary
21,64550,Garvey Elementary
21,75267,Gateway Unified
21,70318,Gazelle Union Elementary
21,63487,General Shafter Elementary
21,71548,Gerber Union Elementary
21,70706,Geyserville Unified
21,69484,Gilroy Unified
21,64568,Glendale Unified
21,64576,Glendora Unified
21,10116,Glenn County Office of Education
21,61879,Gold Oak Union Elementary
21,61887,Gold Trail Union Elementary
21,61457,Golden Feather Union Elementary
21,75234,Golden Plains Unified
21,75580,Golden Valley Unified
21,69195,Goleta Union Elementary
21,75473,Gonzales Unified
21,64584,Gorman Joint
21,70003,Grant Elementary
21,66332,Grass Valley Elementary
21,71084,Gratton Elementary
21,70714,Gravenstein Union Elementary
21,66027,Graves Elementary
21,62851,Green Point Elementary
21,63503,Greenfield Union
21,66035,Greenfield Union Elementary
21,70326,Grenada Elementary
21,75507,Gridley Unified
21,68130,Grossmont Union High
21,69203,Guadalupe Union Elementary
21,70722,Guerneville Elementary
21,73619,Gustine Unified
21,73445,Hacienda la Puente Unified
21,76562,Hamilton Unified
21,63917,Hanford Elementary
21,63925,Hanford Joint Union High
21,70334,Happy Camp Union Elementary
21,69757,Happy Valley Elementary
21,70011,Happy Valley Union Elementary
21,70730,Harmony Union Elementary
21,71092,Hart-Ransom Union Elementary
21,64592,Hawthorne
21,61192,Hayward Unified
21,75390,Healdsburg Unified
21,63131,Heber Elementary
21,67736,Helendale Elementary
21,67082,Hemet Unified
21,64600,Hermosa Beach City Elementary
21,75044,Hesperia Unified
21,71100,Hickman Community Charter
21,68908,Hillsborough City Elementary
21,65698,Hilmar Unified
21,67470,Hollister
21,63149,Holtville Unified
21,69211,Hope Elementary
21,71944,Hope Elementary
21,70763,Horicon Elementary
21,70359,Hornbrook Elementary
21,71951,Hot Springs Elementary
21,66258,Howell Mountain Elementary
21,72462,Hueneme Elementary
21,64626,Hughes-Elizabeth Lakes Union Elementary
21,75549,Hughson Unified
21,10124,Humboldt County Office of Education
21,66530,Huntington Beach City Elementary
21,66548,Huntington Beach Union High
21,62885,Hydesville Elementary
21,70029,"Igo, Ono, Platina Union Elementary"
21,10132,Imperial County Office of Education
21,63164,Imperial Unified
21,61895,Indian Diggings Elementary
21,70037,Indian Springs Elementary
21,64634,Inglewood Unified
21,10140,Inyo County Office of Education
21,73650,Irvine Unified
21,63933,Island Union Elementary
21,62893,Jacoby Creek Elementary
21,72363,Jamestown Elementary
21,68155,Jamul-Dulzura Union Elementary
21,64105,Janesville Union Elementary
21,67488,Jefferson Elementary
21,68544,Jefferson Elementary
21,68916,Jefferson Elementary
21,68924,Jefferson Union High
21,61697,John Swett Unified
21,64113,Johnstonville Elementary
21,68163,Julian Union Elementary
21,68171,Julian Union High
21,71738,Junction City Elementary
