year,ed_option_type,ed_option_type_num
20,Alternative School of Choice,1
20,Community Day School,2
20,Continuation School,3
20,County Community School,4
20,District Special Education Consortia School,5
20,Home and Hospital,6
20,Juvenile Court School,7
20,Opportunity School,8
20,Special Education School,9
20,Traditional,10
