year,district_code,district_name
24,64212,ABC Unified
24,61630,Acalanes Union High
24,66761,Ackerman Charter
24,75309,Acton-Agua Dulce Unified
24,67587,Adelanto Elementary
24,10017,Alameda County Office of Education
24,61119,Alameda Unified
24,61127,Albany City Unified
24,70599,Alexander Valley Union Elementary
24,75713,Alhambra Unified
24,65961,Alisal Union
24,71795,Allensworth Elementary
24,71803,Alpaugh Unified
24,10025,Alpine County Office of Education
24,61333,Alpine County Unified
24,67967,Alpine Union Elementary
24,67595,Alta Loma Elementary
24,71811,Alta Vista Elementary
24,66779,Alta-Dutch Flat Union Elementary
24,69369,Alum Rock Union Elementary
24,65177,Alview-Dairyland Union Elementary
24,61994,Alvina Elementary
24,66977,Alvord Unified
24,10033,Amador County Office of Education
24,73981,Amador County Unified
24,66423,Anaheim Elementary
24,66431,Anaheim Union High
24,69856,Anderson Union High
24,65540,Anderson Valley Unified
24,71472,Antelope Elementary
24,64246,Antelope Valley Union High
24,61648,Antioch Unified
24,75077,Apple Valley Unified
24,64261,Arcadia Unified
24,62679,Arcata Elementary
24,67280,Arcohe Union Elementary
24,65557,Arena Union Elementary
24,63875,Armona Union Elementary
24,75259,Aromas - San Juan Unified
24,63313,Arvin Union
24,68700,Atascadero Unified
24,65631,Atwater Elementary
24,66787,Auburn Union Elementary
24,64279,Azusa Unified
24,73858,Baker Valley Unified
24,63321,Bakersfield City
24,64287,Baldwin Park Unified
24,69104,Ballard Elementary
24,65649,Ballico-Cressey Elementary
24,61382,Bangor Union Elementary
24,66985,Banning Unified
24,77388,Banta Unified
24,67611,Barstow Unified
24,65185,Bass Lake Joint Union Elementary
24,64295,Bassett Unified
24,68858,Bayshore Elementary
24,67637,Bear Valley Unified
24,63339,Beardsley Elementary
24,66993,Beaumont Unified
24,69872,Bella Vista Elementary
24,72306,Belleview Elementary
24,70615,Bellevue Union
24,64303,Bellflower Unified
24,68866,Belmont-Redwood Shores Elementary
24,70524,Benicia Unified
24,70623,Bennett Valley Union Elementary
24,61143,Berkeley Unified
24,69377,Berryessa Union Elementary
24,64311,Beverly Hills Unified
24,62026,Big Creek Elementary
24,62695,Big Lagoon Union Elementary
24,75184,Big Oak Flat-Groveland Unified
24,63248,Big Pine Unified
24,70185,Big Springs Union Elementary
24,75150,Big Sur Unified
24,64089,Big Valley Joint Unified
24,61408,Biggs Unified
24,76687,Bishop Unified
24,67454,Bitterwater-Tully Elementary
24,69880,Black Butte Union Elementary
24,73783,Black Oak Mine Unified
24,63354,Blake Elementary
24,69112,Blochman Union Elementary
24,62703,Blue Lake Union Elementary
24,70193,Bogus Elementary
24,65300,Bolinas-Stinson Union
24,64329,Bonita Unified
24,69732,Bonny Doon Union Elementary
24,76851,Bonsall Unified
24,67983,Borrego Springs Unified
24,65979,Bradley Union Elementary
24,63073,Brawley Elementary
24,63081,Brawley Union High
24,66449,Brea-Olinda Unified
24,61655,Brentwood Union
24,61556,Bret Harte Union High
24,62729,Bridgeville Elementary
24,72447,Briggs Elementary
24,68874,Brisbane Elementary
24,71357,Brittan Elementary
24,71365,Browns Elementary
24,61838,Buckeye Union Elementary
24,69138,Buellton Union Elementary
24,66456,Buena Park Elementary
24,71829,Buena Vista Elementary
24,64337,Burbank Unified
24,68882,Burlingame Elementary
24,71662,Burnt Ranch Elementary
24,62042,Burrel Union Elementary
24,71837,Burton Elementary
24,10041,Butte County Office of Education
24,73684,Butte Valley Unified
24,70201,Butteville Union Elementary
24,63370,Buttonwillow Union Elementary
24,61663,Byron Union Elementary
24,68890,Cabrillo Unified
24,67991,Cajon Valley Union
24,10058,Calaveras County Office of Education
24,61564,Calaveras Unified
24,63099,Calexico Unified
24,63388,Caliente Union Elementary
24,63107,Calipatria Unified
24,66241,Calistoga Joint Unified
24,69385,Cambrian
24,61846,Camino Union Elementary
24,69393,Campbell Union
24,69401,Campbell Union High
24,72728,Camptonville Elementary
24,61671,Canyon Elementary
24,62554,Capay Joint Union Elementary
24,66464,Capistrano Unified
24,68007,Cardiff Elementary
24,73551,Carlsbad Unified
24,65987,Carmel Unified
24,69146,Carpinteria Unified
24,75598,Caruthers Unified
24,69914,Cascade Union Elementary
24,64345,Castaic Union
24,69922,Castle Rock Union Elementary
24,61150,Castro Valley Unified
24,68726,Cayucos Elementary
24,73973,Center Joint Unified
24,64352,Centinela Valley Union High
24,67645,Central Elementary
24,73965,Central Unified
24,63883,Central Union Elementary
24,63115,Central Union High
24,66472,Centralia Elementary
24,71043,Ceres Unified
24,67652,Chaffey Joint Union High
24,64378,Charter Oak Unified
24,71050,Chatom Union
24,75606,Chawanakee Unified
24,66316,Chicago Park Elementary
24,61424,Chico Unified
24,67678,Chino Valley Unified
24,65193,Chowchilla Elementary
24,65201,Chowchilla Union High
24,65995,Chualar Union
24,68023,Chula Vista Elementary
24,67462,Cienega Union Elementary
24,70649,Cinnabar Elementary
24,64394,Claremont Unified
24,62109,Clay Joint Elementary
24,66324,Clear Creek Elementary
24,70656,Cloverdale Unified
24,62117,Clovis Unified
24,73676,Coachella Valley Unified
24,62125,Coalinga-Huron Unified
24,75465,Coast Unified
24,71670,Coffee Creek Elementary
24,69161,Cold Spring Elementary
24,66795,Colfax Elementary
24,69179,College Elementary
24,67686,Colton Joint Unified
24,69948,Columbia Elementary
24,72348,Columbia Union
24,71852,Columbine Elementary
24,10066,Colusa County Office of Education
24,61598,Colusa Unified
24,73437,Compton Unified
24,73759,Conejo Valley Unified
24,10074,Contra Costa County Office of Education
24,63891,Corcoran Joint Unified
24,71498,Corning Union Elementary
24,71506,Corning Union High
24,67033,Corona-Norco Unified
24,68031,Coronado Unified
24,73882,Cotati-Rohnert Park Unified
24,69955,Cottonwood Union Elementary
24,64436,Covina-Valley Unified
24,67694,Cucamonga Elementary
24,62737,Cuddeback Union Elementary
24,64444,Culver City Unified
24,69419,Cupertino Union
