year,school_code,school_name
22,102897,Melrose Elementary
22,102913,Middle College High
22,102921,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy
22,102939,Etiwanda Colony Elementary
22,102947,Day Creek Intermediate
22,102988,EnCompass Academy Elementary
22,105684,San Elijo Middle
22,105692,A. L. Conner Elementary
22,105700,Mary Lou Dieterich Elementary
22,105718,Anthony C. Traina Elementary
22,105726,Mission Hills High
22,105734,Great Oak High
22,105742,Alamos Elementary
22,105759,Bella Vista Middle
22,105767,Rio Vista Elementary
22,105783,Four Creeks Elementary
22,105791,Dwight D. Eisenhower Elementary
22,105809,Harada Elementary
22,105817,Harmony Elementary
22,105825,Solana Pacific Elementary
22,105858,Pajaro Valley High
22,105866,Woodland Star Charter
22,105874,Ortega Elementary
22,105882,Foothill Oak Elementary
22,105890,Mark West Charter
22,105908,Arlene Hein Elementary
22,105916,Monterey Trail High
22,105924,"Edward Harris, Jr. Middle"
22,105932,Roy Herburger Elementary
22,105940,Alessandro
22,105957,Liberty Elementary
22,105965,Salt Creek Elementary
22,105973,Walter Woodward Elementary
22,105981,"Desert Willow Fine Arts, Science and Technology Magnet Academy"
22,106005,Village
22,106013,University Preparatory
22,106021,Freedom Elementary
22,106047,Blue Ridge
22,106062,San Gorgonio Middle
22,106070,Endeavour Middle
22,106088,Delta View Elementary
22,106096,Columbia Elementary
22,106112,Pinnacles High
22,106120,SIATech
22,106153,Eel River Community
22,106161,Eureka Community
22,106179,Southern Humboldt Community
22,106203,Humboldt County Office of Education Juvenile Hall Court
22,106229,Palmiter Special Education
22,106237,Elinor Lincoln Hickey Jr./Sr. High
22,106245,North Area Community
22,106278,El Centro Jr./Sr. High
22,106294,Foundations Academy
22,106328,Canyon Crest Academy
22,106336,Frank Ledesma Elementary
22,106344,Northwest Prep Charter
22,106351,Ivy Academia
22,106401,Alameda Science and Technology Institute
22,106419,James S. Fugman Elementary
22,106427,Synergy Charter Academy
22,106443,Twelve Bridges Elementary
22,106450,Regency Park Elementary
22,106476,James K. Polk Elementary
22,106484,Wicklund Elementary
22,106518,Merced Scholars Charter
22,106534,Bullis Charter
22,106542,Community Day
22,106567,Nova Academy Early College High
22,106575,Harvest Elementary
22,106583,Carmen Dragon Elementary
22,106625,Elk Creek
22,106633,KIPP Heartwood Academy
22,106641,Challenger School of Sports and Fitness
22,106674,Frances Ellen Watkins Harper Junior High
22,106690,Shirley Lane Elementary
22,106716,Hamilton High
22,106732,High Tech High International
22,106740,Aspen Valley Prep Academy
22,106757,Folsom Cordova K-8 Community Charter
22,106765,California Connections Academy Southern California
22,106799,Learning Choice Academy
22,106807,Alder Creek Middle
22,106815,Thomas Law Reed Elementary
22,106831,Animo Venice Charter High
22,106849,Animo Pat Brown
22,106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
22,106872,Bert Corona Charter
22,106880,Jardin de la Infancia
22,106898,The Language Academy of Sacramento
22,106906,Bay Area Technology
22,106914,Bellingham Elementary
22,106922,Maple Primary Center
22,106930,Stanford Primary Center
22,106948,Charles White Elementary
22,106955,Harmony Elementary
22,106971,Vista Middle
22,106989,Southeast Middle
22,106997,Orthopaedic Hospital
22,107003,Northridge Academy High
22,107011,International Studies Learning Center at Legacy High School Complex
22,107029,San Diego International Studies
22,107052,San Diego Business/Leadership
22,107078,Kearny Digital Media & Design
22,107086,Kearny School of Biomedical Science and Technology
22,107094,Kearny College Connections
22,107102,Kearny Eng Innov & Design
22,107110,Six Rivers Charter High
22,107128,Whitmore Charter School of Art & Technology
22,107136,Whitmore Charter High
22,107151,"Escuela Popular/Center for Training and Careers, Family Learning"
22,107177,Crawford High
22,107219,San Diego Science and Technology
22,107227,Charter Montessori Valley View Campus
22,107250,Potter Valley Junior High
22,107284,California Virtual Academy @ Sonoma
22,107292,King City Arts Magnet
22,107300,City Arts and Tech High
22,107318,Twin Rivers Charter
22,107334,Central County Special Education Programs
22,107342,CCCOE Special Education Programs
22,107359,Hamilton Elementary
22,107375,Rio Del Oro Elementary
22,107391,New Republic Elementary
22,107409,S Ben Benavidez Elementary
22,107425,George Visual and Performing Arts Magnet and Middle
22,107433,Columbia Middle
22,107441,Theodore Vick Elementary
22,107458,Chavez Elementary
22,107466,Community School/Independent Alternative Education
22,107482,San Diego Metro Career and Tech
22,107508,Century Community Charter
22,107516,Summit Leadership Academy-High Desert
22,107524,Acalanes Center for Independent Study
22,107557,Calavera Hills Middle
22,107573,High Tech Middle Media Arts
22,107631,Academy of Innovation K-8
22,107649,Countryside Community Day
22,107672,Sequoia High
22,107706,Blue Heron
22,107722,River Valley High
22,107730,ASA Charter
22,107748,Learning in an Urban Community with High Achievement (L.U.C.H.A.)
22,107755,Port of Los Angeles High
22,107763,Renaissance Academy
22,107771,Sequoia Elementary
22,107797,Heritage High
22,107805,Cypress School of the Arts
22,107862,Reidy Creek Elementary
22,107870,Bernardo Elementary
22,107888,Highland Grove Elementary
22,107912,Helen Keller Elementary
22,107920,Lakeside High
22,107938,Ezequiel Tafoya Alvarado Academy
22,107946,Lake Canyon Elementary
22,107961,Benjamin Franklin Elementary
22,107979,Sierra View Elementary
22,107987,Fairfax Jr. High
22,108001,Plumas County Opportunity
22,108019,Marsh Creek Elementary
22,108027,Oak Hills Elementary
22,108035,Park View Elementary
22,108050,Ruhkala Elementary
22,108068,Boronda Meadows
22,108076,Central Valley High
22,108084,Whitney High
22,108092,Orange Cove High
22,108100,Molly S. Bakman Elementary
22,108118,Akira Yokomi Elementary
22,108126,Sam H. Lawson Middle
22,108134,La Jolla Elementary
22,108142,Woods (Harold L.) Elementary
22,108159,Cesar Chavez High
22,108167,Adelante Dual Language Academy
22,108175,Sandra Tovar Medeiros Elementary
22,108191,Summit High
22,108209,Ellerth E. Larson Elementary
22,108217,Manlio Silva Elementary
22,108225,Ronald E. McNair High
22,108241,Ronald Reagan Elementary
22,108258,Lakeview Elementary
22,108266,Golden Hill K-8
22,108274,Porter Elementary
22,108282,Cherokee Point Elementary
22,108290,Ibarra Elementary
22,108324,Windemere Ranch Middle
22,108332,Oak Valley Middle
22,108340,Lake County International Charter
22,108357,George Kelly Elementary
22,108365,Segerstrom High
22,108373,Manuel Esqueda Elementary
22,108381,Thurgood Marshall Elementary
22,108399,Cesar Chavez Middle
22,108407,Eastside High
22,108415,Heritage Peak Charter
22,108423,Vanguard Preparatory
22,108431,Galileo Academy 101
22,108449,Endeavour School of Exploration
22,108464,Carrillo Ranch Elementary
22,108480,Crowne Hill Elementary
22,108498,Susan La Vorgna Elementary
22,108506,Tony Tobin Elementary
22,108514,Foskett Ranch Elementary
22,108522,Cappy Culver Elementary
22,108530,Antelope Hills Elementary
22,108548,Iftin Charter
22,108555,Design Science Middle College High
22,108563,EJE Elementary Academy Charter
22,108589,San Lauren Elementary
22,108597,Tesoro del Valle Elementary
22,108605,Stone Bridge
22,108613,Veritas Elementary
22,108621,Wilson C. Riles Middle
22,108639,Oak Meadows Elementary
22,108647,Aspire Rosa Parks Academy
22,108662,Veterans Elementary
22,108670,Leadership Public Schools - Hayward
22,108688,Academy of the Redwoods
22,108696,Ramblewood Elementary
22,108704,Oso Grande Elementary
22,108720,Arnold Adreani Elementary
22,108738,Helen Carr Castello Elementary
22,108746,Katherine L. Albiani Middle
22,108753,Pleasant Grove High
22,108761,Daniel J. Savage Middle
22,108779,Howard Tanner
22,108787,High Tech High Media Arts
22,108795,Creative Connections Arts Academy
22,108837,Community Collaborative Charter
22,108860,Westlake Charter
22,108878,CHAMPS - Charter HS of Arts-Multimedia & Performing
22,108886,Gabriella Charter
22,108894,Alliance Judy Ivie Burton Technology Academy High
22,108910,ISANA Nascent Academy
22,108928,Larchmont Charter
22,108936,Alliance Collins Family College-Ready High
22,108944,Lighthouse Community Charter High
22,108951,Arthur A. Benjamin Health Professions High
22,109009,Summit Charter Academy
22,109033,King-Chavez Arts and Athletics Academy
22,109066,Orange County Educational Arts Academy
22,109074,Joel J. Hidahl Elementary
22,109082,M. Robert Adkison Elementary
22,109090,Sinclear Elementary
22,109108,Citrus Hill High
22,109116,Lasselle Elementary
22,109124,Avalon Elementary
22,109140,Canyon Oaks Elementary
22,109157,Magnolia Science Academy San Diego
22,109173,Quail Run Elementary
22,109181,Olympic Primary Center
22,109199,Lake Street Primary
22,109207,Martha Escutia Primary Center
22,109223,Garza (Carmen Lomas) Primary Center
22,109231,"Danny J. Bakewell, Sr., Primary Center"
22,109249,Hooper Avenue Primary Center
22,109256,Mariposa-Nabi Primary Center
22,109264,Lexington Avenue Primary Center
22,109272,Middleton Primary Center
22,109280,Amanecer Primary Center
22,109298,Hollywood Elementary
22,109306,Washington Primary Center
22,109314,Harvard Elementary
22,109322,Pacific Boulevard
22,109330,Ricardo Lizarraga Elementary
22,109348,Aurora Elementary
22,109355,John W. Mack Elementary
22,109363,Maywood Elementary
22,109371,Rosa Parks Learning Center
22,109389,Panorama City Elementary
22,109397,Maurice Sendak Elementary
22,109405,Kingsley Elementary
22,109413,Madison Elementary
22,109421,Hope Street Elementary
22,109439,Cesar Chavez Elementary
22,109447,Santee Education Complex
22,109454,South East High
22,109462,Maywood Academy High
22,109470,Victoria Magathan Elementary
22,109488,Cesar E. Chavez Middle
22,109496,Roger Anton Elementary
22,109512,Cal Burke High
22,109520,Mountain Vista
22,109538,Marco Antonio Firebaugh High
22,109595,Cesar E. Chavez Middle
22,109660,Aspire Antonio Maria Lugo Academy
22,109678,Lakeview Elementary
22,109694,Jack G. Desmond Middle
22,109702,Nishimoto Elementary
22,109751,Visalia Charter Independent Study
22,109793,South Sutter Charter
22,109819,Aspire Berkley Maynard Academy
22,109827,Newcastle Charter
22,109843,Santa Rosa Academy
22,109850,Public Safety Academy
22,109884,James Jordan Middle
22,109900,Vista Real Charter High
22,109926,Academia Avance Charter
22,109934,Our Community Charter
22,109942,Los Angeles College Prep Academy
22,109975,Fuente Nueva Charter
22,109991,Crescent View West Public Charter
22,110007,Ocean Grove Charter
22,110023,Orr Creek
22,110031,CDS Home Street
22,110064,University Preparatory
22,110072,Ishi Hills Middle
22,110080,Apricot Valley Elementary
22,110098,Anaverde Hills
22,110106,Orange Grove High
22,110114,Sycamore Ridge
22,110122,Bonsall West Elementary
22,110155,Lake Tahoe Environmental Science Magnet
22,110189,McClymonds High
22,110205,Lemoore Middle College High
22,110221,Shasta Lake
22,110239,Reach Academy Elementary
22,110247,Manzanita SEED Elementary
22,110254,Sankofa United Elementary
22,110262,Rise Community Elementary
22,110270,Clovis Community Day Secondary
22,110304,Los Angeles Academy of Arts and Enterprise
22,110320,Gene Drevno Community Day
22,110338,Achieve Charter School of Paradise Inc.
22,110395,Lincoln Community Day
22,110460,Core Learning Academy at Conley-Caraballo High
22,110478,Alternative Learning Academy at Conley-Caraballo High
22,110486,Lange (Dorothea) Elementary
22,110494,Bidwell Continuation High
22,110502,Rancho Rosal Elementary
22,110510,Golden Hills Elementary
22,110528,Adams (J. Douglas) Middle
22,110551,Nord Country
22,110569,Judson & Brown Elementary
22,110577,Railway Elementary
22,110585,Sky View Elementary
22,110593,James C. Enochs High
22,110601,Evans Ranch Elementary
22,110627,Eleanor Roosevelt High
22,110635,River Heights Intermediate
22,110643,Eastvale Elementary
22,110668,Frida Kahlo High
22,110684,Iron House Elementary
22,110692,Sequoia Middle
22,110700,Don Callejon
22,110718,Vista Verde Elementary
22,110726,Chaparral Elementary
22,110734,La Rosa Elementary
22,110759,John F. Kennedy High
22,110767,Horizon Elementary
22,110775,Stonecreek Junior High
22,110783,Juanita Blakely Jones Elementary
22,110791,Ronald Reagan Elementary
22,110833,River Springs Charter
22,110858,Corcoran Academy
22,110866,Sitting Bull Academy
22,110940,Cottonwood Creek Elementary
22,110957,Cesar Chavez Elementary
22,110965,Madera South High
22,110973,Richmond College Preparatory
22,110981,Hamilton Elementary
22,110999,Frontier High
22,111005,Los Coches Creek Middle
22,111021,Colonel Mitchell Paige Middle
22,111039,Academy for Change
22,111047,Lopez Elementary
22,111054,Cortez Elementary
22,111070,Rowland Assistive Technology Academy
22,111088,Jack Franscioni Elementary
22,111096,Tiefort View Intermediate
22,111104,Barrett Ranch Elementary
22,111112,Carroll Elementary
22,111138,Heron
22,111153,Reagan Elementary
22,111187,Monterey Ridge Elementary
22,111195,Classical Academy High
22,111203,Alder Grove Charter School 2
22,111211,New Heights Charter
22,111237,Maryland Elementary
22,111245,American Elementary
22,111252,Mark Twain Elementary
22,111278,Navigator Elementary
22,111286,George Lincoln Mosher
22,111294,Winfield Elementary
22,111310,John Marshall Elementary
22,111328,Maxine Hong Kingston Elementary
22,111336,Pittman Charter
22,111344,Wilhelmina Henry Elementary
22,111351,John C. Fremont Elementary
22,111369,Alexander Hamilton Elementary
22,111377,Westpark Elementary
22,111385,Twelve Bridges Middle
22,111393,North Cottonwood
22,111401,Fred T. Korematsu Elementary at Mace Ranch
22,111419,Woodbridge
22,111427,Feinstein (Dianne) Elementary
22,111435,Marina High
22,111443,Centennial Independent Study
22,111468,San Elijo Elementary
22,111476,Achieve Academy
22,111484,New Village Girls Academy
22,111492,Alliance Patti And Peter Neuwirth Leadership Academy
22,111500,Alliance Dr. Olga Mohan High
22,111518,Alliance Jack H. Skirball Middle
22,111575,Animo Ralph Bunche Charter High
22,111583,Animo Jackie Robinson High
22,111625,Animo Watts College Preparatory Academy
22,111641,Alliance Ouchi-O'Donovan 6-12 Complex
22,111658,Alliance Marc & Eva Stern Math and Science
22,111666,Early College High
22,111674,Chrysalis Charter
22,111682,Hume Lake Charter
22,111708,Union Street Charter
