year,school_code,school_name
21,1,"Nonpublic, Nonsectarian Schools"
21,100016,Sherman Thomas Charter
21,100024,Oak Meadow Elementary
21,100040,Robert L. McCaffrey Middle
21,100057,Plumas County Community
21,100065,Oakland Unity High
21,100081,William J. (Pete) Knight High
21,100107,Vista Grande Elementary
21,100115,Montera Elementary
21,100156,Lemoore University Elementary Charter
21,100164,Dr. Reynaldo J. Carreon Jr. Academy
21,100180,Mountain Oaks High
21,100198,Golden Valley High
21,100206,George W. Bush Elementary
21,100248,Las Palmitas Elementary
21,100255,Desert Mirage High
21,100263,Toro Canyon Middle
21,100289,N.E.W. Academy of Science and Arts
21,100347,Almond Elementary
21,100354,Hawthorne Math and Science Academy
21,100362,Thurgood Marshall Elementary
21,100388,Tierra Pacifica Charter
21,100404,Sandra J. Gallardo Elementary
21,100412,Monte Vista Elementary
21,100420,Vista Murrieta High
21,100461,Lone Tree Elementary
21,100479,Dallas Ranch Middle
21,100487,Norwood Junior High
21,100495,Los Tules Middle
21,100503,Freedom Crest Elementary
21,100511,Lilac
21,100529,Cesar E. Chavez High
21,100537,Andros Karperos
21,100545,Lake Mathews Elementary
21,100560,Lois E. Borchardt Elementary
21,100578,Edwin Rhodes Elementary
21,100586,Michael G. Wickman Elementary
21,100594,Liberty Elementary
21,100602,"Lennox Mathematics, Science and Technology Academy"
21,100610,Dolores Huerta Elementary
21,100636,Pico Canyon Elementary
21,100644,Dr. J. Michael McGrath Elementary
21,100651,Mission Valley
21,100669,Stella Middle Charter Academy
21,100677,High Tech LA
21,100685,Valle Verde Elementary
21,100701,MetWest High
21,100735,Canyon Vista Elementary
21,100743,Accelerated Charter Elementary
21,100750,Wallis Annenberg High
21,100776,North Valley Military Institute College Preparatory Academy
21,100792,Think College Now
21,100800,Central City Value
21,100867,KIPP Los Angeles College Preparatory
21,100883,Vista del Mar Elementary
21,100891,Vista del Mar Middle
21,100909,Ladera Ranch Elementary
21,100917,Ladera Ranch Middle
21,100925,T.H.E Leadership Academy
21,100933,Hannalei Elementary
21,100941,Lakeside Middle
21,100958,Sierra Vista Elementary
21,100966,El Cerrito Middle
21,100974,Clara Barton Elementary
21,100982,Temescal Valley Elementary
21,100990,Solorsano Middle
21,101006,Sundance Elementary
21,101014,McKee Middle
21,101022,Rio Norte Junior High
21,101030,Fox Road Elementary
21,101048,St. HOPE Public School 7
21,101097,French Valley Elementary
21,101105,Erle Stanley Gardner Middle
