year,ed_option_type,ed_option_type_num
23,Alternative School of Choice,1
23,Community Day School,2
23,Continuation School,3
23,County Community School,4
23,District Special Education Consortia School,5
23,Home and Hospital,6
23,Juvenile Court School,7
23,Opportunity School,8
23,Special Education School,9
23,Traditional,10
