year,cds,county_code,district_code,school_code
21,09619030000000,09,61903,0000000
21,09619110000000,09,61911,0000000
21,09619290000000,09,61929,0000000
21,09619450000000,09,61945,0000000
21,09619520000000,09,61952,0000000
21,09619600000000,09,61960,0000000
21,09619780000000,09,61978,0000000
21,09619860000000,09,61986,0000000
21,09737830121566,09,73783,0121566
21,09737830000000,09,73783,0000000
21,10101080119628,10,10108,0119628
21,10101080136291,10,10108,0136291
21,10101080140186,10,10108,0140186
21,10101080109991,10,10108,0109991
21,10101086085112,10,10108,6085112
21,10101080111682,10,10108,0111682
21,10101080127514,10,10108,0127514
21,10101080000000,10,10108,0000000
21,10619940000000,10,61994,0000000
21,10620260000000,10,62026,0000000
21,10620420000000,10,62042,0000000
21,10621090000000,10,62109,0000000
21,10621170118018,10,62117,0118018
21,10621170000000,10,62117,0000000
21,10621250000000,10,62125,0000000
21,10621580000000,10,62158,0000000
21,10621660133942,10,62166,0133942
21,10621660106740,10,62166,0106740
21,10621661030840,10,62166,1030840
21,10621660140038,10,62166,0140038
21,10621660121533,10,62166,0121533
21,10621661030642,10,62166,1030642
21,10621660114355,10,62166,0114355
21,10621660114553,10,62166,0114553
21,10621660000000,10,62166,0000000
21,10622400000000,10,62240,0000000
21,10622570000000,10,62257,0000000
21,10622650116640,10,62265,0116640
21,10622650126292,10,62265,0126292
21,10622650000000,10,62265,0000000
21,10622810000000,10,62281,0000000
21,10623230000000,10,62323,0000000
21,10623310137661,10,62331,0137661
21,10623310000000,10,62331,0000000
21,10623560000000,10,62356,0000000
21,10623640000000,10,62364,0000000
21,10623720000000,10,62372,0000000
21,10623800136499,10,62380,0136499
21,10623800000000,10,62380,0000000
21,10624141030766,10,62414,1030766
21,10624146117865,10,62414,6117865
21,10624146117873,10,62414,6117873
21,10624140000000,10,62414,0000000
21,10624300000000,10,62430,0000000
21,10625130000000,10,62513,0000000
21,10625396112387,10,62539,6112387
21,10625390000000,10,62539,0000000
21,10625470136523,10,62547,0136523
21,10625470135103,10,62547,0135103
21,10625470000000,10,62547,0000000
21,10738090000000,10,73809,0000000
21,10739650000000,10,73965,0000000
21,10739990000000,10,73999,0000000
21,10751270000000,10,75127,0000000
21,10752340000000,10,75234,0000000
21,10752750000000,10,75275,0000000
21,10754080000000,10,75408,0000000
21,10755980000000,10,75598,0000000
21,10767781030774,10,76778,1030774
21,10767780000000,10,76778,0000000
21,11101160130724,11,10116,0130724
21,11101160124909,11,10116,0124909
21,11101161130103,11,10116,1130103
21,11101160000000,11,10116,0000000
21,11625540000000,11,62554,0000000
21,11625960139550,11,62596,0139550
21,11625960000000,11,62596,0000000
21,11626380000000,11,62638,0000000
21,11626460000000,11,62646,0000000
21,11626530000000,11,62653,0000000
21,11626610000000,11,62661,0000000
21,11754810000000,11,75481,0000000
21,11765620000000,11,76562,0000000
21,12101246008221,12,10124,6008221
21,12101240134163,12,10124,0134163
21,12101240137364,12,10124,0137364
21,12101240000000,12,10124,0000000
21,12626796120562,12,62679,6120562
21,12626790109975,12,62679,0109975
21,12626790137653,12,62679,0137653
21,12626790111708,12,62679,0111708
21,12626790000000,12,62679,0000000
21,12626870124263,12,62687,0124263
21,12626870107110,12,62687,0107110
21,12626870000000,12,62687,0000000
21,12626950000000,12,62695,0000000
21,12627030000000,12,62703,0000000
21,12627290000000,12,62729,0000000
21,12627370000000,12,62737,0000000
21,12627450000000,12,62745,0000000
21,12627940000000,12,62794,0000000
21,12628100000000,12,62810,0000000
21,12628286116289,12,62828,6116289
21,12628280000000,12,62828,0000000
21,12628360000000,12,62836,0000000
21,12628510000000,12,62851,0000000
21,12628850000000,12,62885,0000000
21,12628930000000,12,62893,0000000
21,12629010000000,12,62901,0000000
21,12629190000000,12,62919,0000000
21,12629270000000,12,62927,0000000
21,12629350000000,12,62935,0000000
21,12629500000000,12,62950,0000000
21,12629680000000,12,62968,0000000
21,12629760115154,12,62976,0115154
21,12629760000000,12,62976,0000000
21,12629840000000,12,62984,0000000
21,12630080000000,12,63008,0000000
21,12630240000000,12,63024,0000000
21,12630320111203,12,63032,0111203
21,12630320124289,12,63032,0124289
21,12630320000000,12,63032,0000000
21,12630400000000,12,63040,0000000
21,12630570000000,12,63057,0000000
21,12753740000000,12,75374,0000000
21,12753820000000,12,75382,0000000
21,12755151230150,12,75515,1230150
21,12755150000000,12,75515,0000000
21,12768020124164,12,76802,0124164
21,12768020000000,12,76802,0000000
21,13101320134379,13,10132,0134379
21,13101320000000,13,10132,0000000
21,13630730000000,13,63073,0000000
