year,district_code,district_name
22,64212,ABC Unified
22,61630,Acalanes Union High
22,66761,Ackerman Charter
22,75309,Acton-Agua Dulce Unified
22,67587,Adelanto Elementary
22,10017,Alameda County Office of Education
22,61119,Alameda Unified
22,61127,Albany City Unified
22,70599,Alexander Valley Union Elementary
22,75713,Alhambra Unified
22,65961,Alisal Union
22,71795,Allensworth Elementary
22,71803,Alpaugh Unified
22,10025,Alpine County Office of Education
22,61333,Alpine County Unified
22,67967,Alpine Union Elementary
22,67595,Alta Loma Elementary
22,71811,Alta Vista Elementary
22,66779,Alta-Dutch Flat Union Elementary
22,69369,Alum Rock Union Elementary
22,65177,Alview-Dairyland Union Elementary
22,61994,Alvina Elementary
22,66977,Alvord Unified
22,10033,Amador County Office of Education
22,73981,Amador County Unified
22,66423,Anaheim Elementary
22,66431,Anaheim Union High
22,69856,Anderson Union High
22,65540,Anderson Valley Unified
22,71472,Antelope Elementary
22,64246,Antelope Valley Union High
22,61648,Antioch Unified
22,75077,Apple Valley Unified
22,64261,Arcadia Unified
22,62679,Arcata Elementary
22,67280,Arcohe Union Elementary
22,65557,Arena Union Elementary
22,63875,Armona Union Elementary
22,75259,Aromas - San Juan Unified
22,63313,Arvin Union
22,68700,Atascadero Unified
22,65631,Atwater Elementary
22,66787,Auburn Union Elementary
22,64279,Azusa Unified
22,73858,Baker Valley Unified
22,63321,Bakersfield City
22,64287,Baldwin Park Unified
22,69104,Ballard Elementary
22,65649,Ballico-Cressey Elementary
22,61382,Bangor Union Elementary
22,66985,Banning Unified
22,77388,Banta Unified
22,67611,Barstow Unified
22,65185,Bass Lake Joint Union Elementary
22,64295,Bassett Unified
22,68858,Bayshore Elementary
22,67637,Bear Valley Unified
22,63339,Beardsley Elementary
22,66993,Beaumont Unified
22,69872,Bella Vista Elementary
22,72306,Belleview Elementary
22,70615,Bellevue Union
22,64303,Bellflower Unified
22,68866,Belmont-Redwood Shores Elementary
22,70524,Benicia Unified
22,70623,Bennett Valley Union Elementary
22,61143,Berkeley Unified
22,69377,Berryessa Union Elementary
22,64311,Beverly Hills Unified
22,62026,Big Creek Elementary
22,62695,Big Lagoon Union Elementary
22,75184,Big Oak Flat-Groveland Unified
22,63248,Big Pine Unified
22,70185,Big Springs Union Elementary
22,75150,Big Sur Unified
22,64089,Big Valley Joint Unified
22,61408,Biggs Unified
22,76687,Bishop Unified
22,67454,Bitterwater-Tully Elementary
22,69880,Black Butte Union Elementary
22,73783,Black Oak Mine Unified
22,63354,Blake Elementary
22,69112,Blochman Union Elementary
22,62703,Blue Lake Union Elementary
22,70193,Bogus Elementary
22,65300,Bolinas-Stinson Union
22,64329,Bonita Unified
22,69732,Bonny Doon Union Elementary
22,76851,Bonsall Unified
22,67983,Borrego Springs Unified
22,65979,Bradley Union Elementary
22,63073,Brawley Elementary
22,63081,Brawley Union High
22,66449,Brea-Olinda Unified
22,61655,Brentwood Union Elementary
22,61556,Bret Harte Union High
22,62729,Bridgeville Elementary
22,72447,Briggs Elementary
22,68874,Brisbane Elementary
22,71357,Brittan Elementary
22,71365,Browns Elementary
22,61838,Buckeye Union Elementary
22,69138,Buellton Union Elementary
22,66456,Buena Park Elementary
22,71829,Buena Vista Elementary
22,64337,Burbank Unified
22,68882,Burlingame Elementary
22,71662,Burnt Ranch Elementary
22,62042,Burrel Union Elementary
22,71837,Burton Elementary
22,10041,Butte County Office of Education
22,73684,Butte Valley Unified
22,70201,Butteville Union Elementary
22,63370,Buttonwillow Union Elementary
22,61663,Byron Union Elementary
22,68890,Cabrillo Unified
22,67991,Cajon Valley Union
22,10058,Calaveras County Office of Education
22,61564,Calaveras Unified
22,63099,Calexico Unified
22,63388,Caliente Union Elementary
22,63107,Calipatria Unified
22,66241,Calistoga Joint Unified
22,69385,Cambrian
22,61846,Camino Union Elementary
22,69393,Campbell Union
22,69401,Campbell Union High
22,72728,Camptonville Elementary
22,61671,Canyon Elementary
22,62554,Capay Joint Union Elementary
22,66464,Capistrano Unified
22,68007,Cardiff Elementary
22,73551,Carlsbad Unified
22,65987,Carmel Unified
22,69146,Carpinteria Unified
22,75598,Caruthers Unified
22,69914,Cascade Union Elementary
22,64345,Castaic Union
22,69922,Castle Rock Union Elementary
22,61150,Castro Valley Unified
22,68726,Cayucos Elementary
22,73973,Center Joint Unified
