year,cds,county_code,district_code,school_code
20,01612346001507,01,61234,6001507
20,01612346001523,01,61234,6001523
20,01612346001531,01,61234,6001531
20,01612346102917,01,61234,6102917
20,01612420000001,01,61242,0000001
20,01612420110460,01,61242,0110460
20,01612420110478,01,61242,0110478
20,01612420126763,01,61242,0126763
20,01612420134668,01,61242,0134668
20,01612426001572,01,61242,6001572
20,01612426001606,01,61242,6001606
20,01612426001622,01,61242,6001622
20,01612426068266,01,61242,6068266
20,01612426097679,01,61242,6097679
20,01612426101604,01,61242,6101604
20,01612426115505,01,61242,6115505
20,01612426115554,01,61242,6115554
20,01612426118525,01,61242,6118525
20,01612590000001,01,61259,0000001
20,01612590100065,01,61259,0100065
20,01612590100701,01,61259,0100701
20,01612590100792,01,61259,0100792
20,01612590102988,01,61259,0102988
20,01612590106542,01,61259,0106542
20,01612590106906,01,61259,0106906
20,01612590108944,01,61259,0108944
20,01612590109819,01,61259,0109819
20,01612590110189,01,61259,0110189
20,01612590110239,01,61259,0110239
20,01612590110247,01,61259,0110247
20,01612590110254,01,61259,0110254
20,01612590110262,01,61259,0110262
20,01612590111476,01,61259,0111476
20,01612590111856,01,61259,0111856
20,01612590112763,01,61259,0112763
20,01612590112789,01,61259,0112789
20,01612590112797,01,61259,0112797
20,01612590112813,01,61259,0112813
20,01612590114363,01,61259,0114363
20,01612590114868,01,61259,0114868
20,01612590115014,01,61259,0115014
20,01612590115204,01,61259,0115204
20,01612590115238,01,61259,0115238
20,01612590115386,01,61259,0115386
20,01612590115576,01,61259,0115576
20,01612590115584,01,61259,0115584
20,01612590115592,01,61259,0115592
20,01612590115600,01,61259,0115600
20,01612590115618,01,61259,0115618
20,01612590115626,01,61259,0115626
20,01612590115667,01,61259,0115667
20,01612590118224,01,61259,0118224
20,01612590118653,01,61259,0118653
20,01612590119859,01,61259,0119859
20,01612590120188,01,61259,0120188
20,01612590121228,01,61259,0121228
20,01612590121376,01,61259,0121376
20,01612590123711,01,61259,0123711
20,01612590125161,01,61259,0125161
20,01612590125716,01,61259,0125716
20,01612590126748,01,61259,0126748
20,01612590128413,01,61259,0128413
20,01612590129635,01,61259,0129635
20,01612590129932,01,61259,0129932
20,01612590130146,01,61259,0130146
20,01612590130179,01,61259,0130179
20,01612590130575,01,61259,0130575
20,01612590130617,01,61259,0130617
20,01612590130633,01,61259,0130633
20,01612590130666,01,61259,0130666
20,01612590130732,01,61259,0130732
20,01612590131896,01,61259,0131896
20,01612590132514,01,61259,0132514
20,01612590132555,01,61259,0132555
20,01612590132688,01,61259,0132688
20,01612590134015,01,61259,0134015
20,01612590135210,01,61259,0135210
20,01612590135905,01,61259,0135905
20,01612590136051,01,61259,0136051
20,01612590137943,01,61259,0137943
20,01612593030772,01,61259,3030772
20,01612596001630,01,61259,6001630
20,01612596001648,01,61259,6001648
20,01612596001655,01,61259,6001655
20,01612596001663,01,61259,6001663
20,01612596001689,01,61259,6001689
20,01612596001697,01,61259,6001697
20,01612596001713,01,61259,6001713
20,01612596001739,01,61259,6001739
20,01612596001754,01,61259,6001754
20,01612596001812,01,61259,6001812
20,01612596001820,01,61259,6001820
20,01612596001838,01,61259,6001838
20,01612596001846,01,61259,6001846
20,01612596001853,01,61259,6001853
20,01612596001879,01,61259,6001879
20,01612596001895,01,61259,6001895
20,01612596001903,01,61259,6001903
20,01612596001911,01,61259,6001911
20,01612596001929,01,61259,6001929
20,01612596001945,01,61259,6001945
20,01612596001994,01,61259,6001994
20,01612596002018,01,61259,6002018
