year,school_code,school_name
20,102855,Kunst (Tommie) Junior High
20,102863,Liberty Elementary
20,102871,Arnold O. Beckman High
20,102889,Hicks Canyon Elementary
20,102897,Melrose Elementary
20,102913,Middle College High
20,102921,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy
20,102939,Etiwanda Colony Elementary
20,102947,Day Creek Intermediate
20,102988,EnCompass Academy Elementary
20,105684,San Elijo Middle
20,105692,A. L. Conner Elementary
20,105700,Mary Lou Dieterich Elementary
20,105718,Anthony C. Traina Elementary
20,105726,Mission Hills High
20,105734,Great Oak High
20,105742,Alamos Elementary
20,105759,Bella Vista Middle
20,105767,Rio Vista Elementary
20,105783,Four Creeks Elementary
20,105791,Dwight D. Eisenhower Elementary
20,105809,Harada Elementary
20,105817,Harmony Elementary
20,105825,Solana Pacific Elementary
20,105858,Pajaro Valley High
20,105866,Woodland Star Charter
20,105874,Ortega Elementary
20,105882,Foothill Oak Elementary
20,105890,Mark West Charter
20,105908,Arlene Hein Elementary
20,105916,Monterey Trail High
20,105924,"Edward Harris, Jr. Middle"
20,105932,Roy Herburger Elementary
20,105940,Alessandro
20,105957,Liberty Elementary
20,105965,Salt Creek Elementary
20,105973,Walter Woodward Elementary
20,105981,"Desert Willow Fine Arts, Science and Technology Magnet Academy"
20,106005,Village
20,106013,University Preparatory
20,106021,Freedom Elementary
20,106047,Blue Ridge
20,106062,San Gorgonio Middle
20,106070,Endeavour Middle
20,106088,Delta View Elementary
20,106096,Columbia Elementary
20,106112,Pinnacles High
20,106120,SIATech
20,106153,Eel River Community
20,106161,Eureka Community
20,106179,Southern Humboldt Community
20,106195,Humboldt County Office of Education Court
20,106203,Humboldt County Office of Education Juvenile Hall Court
20,106229,Palmiter Special Education
20,106237,Elinor Lincoln Hickey Jr./Sr. High
20,106245,North Area Community
20,106278,El Centro Jr./Sr. High
20,106294,Sacramento County SH Special Education
20,106302,Sacramento County ED Special Education
20,106328,Canyon Crest Academy
20,106336,Frank Ledesma Elementary
20,106344,Northwest Prep Charter
20,106351,Ivy Academia
20,106401,Alameda Science and Technology Institute
20,106419,James S. Fugman Elementary
20,106427,Synergy Charter Academy
20,106435,Camino Nuevo Charter High
20,106443,Twelve Bridges Elementary
20,106450,Regency Park Elementary
20,106476,James K. Polk Elementary
20,106484,Wicklund Elementary
20,106518,Merced Scholars Charter
20,106534,Bullis Charter
20,106542,Community Day High
20,106567,Nova Academy Early College High
20,106575,Harvest Elementary
20,106583,Carmen Dragon Elementary
20,106625,Elk Creek
20,106633,KIPP Heartwood Academy
20,106641,Challenger School of Sports and Fitness
20,106674,Frances Ellen Watkins Harper Junior High
20,106690,Shirley Lane Elementary
20,106716,Hamilton High
20,106732,High Tech High International
20,106740,Aspen Valley Prep Academy
20,106757,Folsom Cordova K-8 Community Charter
20,106765,California Connections Academy Southern California
20,106799,Learning Choice Academy
20,106807,Alder Creek Middle
20,106815,Thomas Law Reed Elementary
20,106831,Animo Venice Charter High
20,106849,Animo Pat Brown
20,106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
20,106872,Bert Corona Charter
20,106880,Jardin de la Infancia
20,106898,The Language Academy of Sacramento
20,106906,Bay Area Technology
20,106914,Bellingham Elementary
20,106922,Maple Primary Center
20,106930,Stanford Primary Center
20,106948,Charles White Elementary
20,106955,Harmony Elementary
20,106971,Vista Middle
20,106989,Southeast Middle
20,106997,Orthopaedic Hospital
20,107003,Northridge Academy High
20,107011,International Studies Learning Center at Legacy High School Complex
20,107029,San Diego International Studies
20,107052,San Diego Business/Leadership
20,107078,Kearny Digital Media & Design
20,107086,Kearny School of Biomedical Science and Technology
20,107094,Kearny College Connections
20,107102,Kearny Eng Innov & Design
20,107110,Six Rivers Charter High
20,107128,Whitmore Charter School of Art & Technology
20,107136,Whitmore Charter High
20,107151,"Escuela Popular/Center for Training and Careers, Family Learning"
20,107177,Crawford High
20,107219,San Diego Science and Technology
20,107227,Charter Montessori Valley View Campus
20,107250,Potter Valley Junior High
20,107284,California Virtual Academy @ Sonoma
20,107292,King City Arts Magnet
20,107300,City Arts and Tech High
20,107318,Twin Rivers Charter
20,107326,Far East County Programs
20,107334,Central County Special Education Programs
20,107342,East County Elementary Special Education
20,107359,Hamilton Elementary
20,107375,Rio Del Oro Elementary
20,107383,River Delta Community Day
20,107391,New Republic Elementary
20,107409,S Ben Benavidez Elementary
20,107425,George Visual and Performing Arts Magnet and Middle
20,107433,Columbia Middle
20,107441,Theodore Vick Elementary
20,107458,Chavez Elementary
20,107466,Community School/Independent Alternative Education
20,107482,San Diego Metro Career and Tech
20,107508,Century Community Charter
20,107516,Summit Leadership Academy-High Desert
20,107524,Acalanes Center for Independent Study
20,107557,Calavera Hills Middle
20,107573,High Tech Middle Media Arts
20,107631,Family Tree Learning Center
20,107649,Countryside Community Day
20,107672,Sequoia High
20,107706,Blue Heron
20,107722,River Valley High
20,107730,ASA Charter
20,107748,Learning in an Urban Community with High Achievement (L.U.C.H.A.)
20,107755,Port of Los Angeles High
20,107763,Renaissance Academy
20,107771,Sequoia Elementary
20,107797,Heritage High
20,107805,Cypress School of the Arts
20,107862,Reidy Creek Elementary
20,107870,Bernardo Elementary
20,107888,Highland Grove Elementary
20,107912,Helen Keller Elementary
