year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
21,01,61259,0130633,0413,511,455,0,0,6,0,222,455,289,478,,6,10,,1,1,14,8,1,01612590130633
21,01,61259,0108944,0700,304,264,1,0,3,0,127,264,90,273,,7,10,,1,1,9,12,1,01612590108944
21,01,61259,0134015,1783,645,509,2,0,9,0,262,515,265,542,,12,10,,1,1,14,12,1,01612590134015
21,01,61259,0126748,1449,492,455,3,0,16,0,202,455,189,473,,7,10,1,1,1,9,12,1,01612590126748
21,01,61259,6117972,0302,159,73,1,0,0,0,64,78,25,85,,6,10,,1,1,14,8,1,01612596117972
21,01,61259,6111660,0014,248,76,0,0,0,0,128,199,115,218,,9,10,,1,1,6,8,1,01612596111660
21,01,61259,0114868,0883,459,191,1,0,0,0,197,364,67,375,,7,10,,1,1,9,12,1,01612590114868
21,01,61259,0130617,0349,627,478,0,0,13,0,304,482,196,519,,12,10,,1,1,6,12,1,01612590130617
21,01,61259,3030772,0340,801,122,0,0,6,0,124,132,7,136,,12,10,,1,1,6,12,1,01612593030772
21,01,61259,0100065,0510,372,295,1,0,0,0,135,315,104,326,,7,10,,1,1,9,12,1,01612590100065
21,01,61259,0123711,1271,183,58,0,0,0,0,127,182,43,182,,6,10,,1,1,14,5,1,01612590123711
21,01,61259,0000000,,35435,25412,179,0,733,12,15051,25477,11713,26888,,,,,,,,,1,01612590000000
21,01,61275,0000000,,2464,0,0,0,3,0,55,56,28,79,,,,,,,,,1,01612750000000
21,01,61291,0000000,,8828,5306,21,0,99,0,2877,5343,2304,5936,,,,,,,,,1,01612910000000
21,01,61309,0114421,0880,674,465,3,0,8,0,217,477,57,483,,7,10,7,1,1,9,12,1,01613090114421
21,01,61309,0101212,0524,423,327,1,0,4,0,144,329,128,350,,9,10,,1,1,5,8,1,01613090101212
21,01,61309,0000000,,9431,5456,29,0,166,77,3431,5546,2834,6456,,,,,,,,,1,01613090000000
21,01,75093,0000000,,12625,828,5,0,17,0,869,875,979,1675,,,,,,,,,1,01750930000000
21,01,75101,0000000,,14464,1196,11,0,40,0,750,1226,1513,2405,,,,,,,,,1,01751010000000
21,01,75119,0000000,,273,25,0,0,0,0,25,25,13,37,,,,,,,,,1,01751190000000
21,01,77180,0138289,2015,143,71,1,0,0,0,56,75,40,92,,8,10,,1,0,9,12,1,01771800138289
21,02,10025,0000000,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,02100250000000
21,02,61333,0000000,,72,43,0,0,9,0,29,44,0,44,,,,,,,,,1,02613330000000
21,03,10033,0000000,,25,0,0,0,2,0,10,12,3,15,,,,,,,,,1,03100330000000
21,03,73981,0000000,,3880,1579,23,0,118,0,1273,1617,114,1655,,,,,,,,,1,03739810000000
21,04,10041,0134213,1811,50,41,2,0,6,0,22,43,0,43,,7,10,,2,0,9,12,1,04100410134213
21,04,10041,0114991,0945,895,391,5,0,33,1,242,392,4,393,,12,10,,1,1,14,12,1,04100410114991
21,04,10041,0430090,0110,183,138,2,0,14,0,118,142,5,143,,12,10,,2,0,14,12,1,04100410430090
21,04,10041,0000000,,136,106,11,0,5,0,75,110,11,110,,,,,,,,,1,04100410000000
21,04,61382,0000000,,107,75,6,0,3,0,65,82,7,83,,,,,,,,,1,04613820000000
21,04,61408,0000000,,562,352,7,0,32,4,296,358,52,367,,,,,,,,,1,04614080000000
21,04,61424,6119523,0415,292,156,1,0,3,0,149,158,9,164,,6,10,7,1,1,14,8,1,04614246119523
21,04,61424,6113773,0112,572,124,3,0,9,0,118,143,7,146,,6,10,7,1,1,14,8,1,04614246113773
21,04,61424,0118042,1019,122,62,4,0,2,0,57,64,2,64,,6,10,7,1,1,14,8,1,04614240118042
21,04,61424,0120394,1114,426,146,3,0,11,0,133,154,4,157,,7,10,7,1,1,9,12,1,04614240120394
21,04,61424,0110551,0729,184,55,0,0,2,0,36,57,4,57,,6,10,,1,1,14,8,1,04614240110551
21,04,61424,0137828,1982,118,34,0,0,6,0,51,69,1,69,,12,10,,1,1,6,12,1,04614240137828
21,04,61424,0121475,1166,122,72,2,0,7,0,61,77,7,78,,6,10,7,1,1,14,8,1,04614240121475
21,04,61424,0123810,1280,162,36,0,0,0,0,39,53,2,53,,6,10,,1,1,14,8,1,04614240123810
21,04,61424,0000000,,11911,5873,96,0,214,11,4137,5928,707,6075,,,,,,,,,1,04614240000000
21,04,61432,0000000,,991,446,3,0,50,7,305,446,75,448,,,,,,,,,1,04614320000000
21,04,61457,0000000,,59,48,1,0,20,0,40,50,3,50,,,,,,,,,1,04614570000000
21,04,61499,0000000,,276,115,1,0,0,2,85,124,42,134,,,,,,,,,1,04614990000000
21,04,61507,0121509,1170,92,16,2,0,0,0,55,64,0,64,,12,10,,1,1,14,12,1,04615070121509
21,04,61507,0129577,1616,286,79,1,0,2,0,76,112,11,112,,6,10,,1,1,14,8,1,04615070129577
21,04,61507,0000000,,2155,1711,34,0,49,1,1364,1719,162,1729,,,,,,,,,1,04615070000000
21,04,61515,0000000,,2334,1459,29,0,87,5,1276,1701,92,1717,,,,,,,,,1,04615150000000
21,04,61523,0000000,,1278,979,11,0,65,1,715,999,157,1015,,,,,,,,,1,04615230000000
21,04,61531,0110338,0751,216,87,0,0,21,0,52,92,5,93,,6,10,2,1,1,14,8,1,04615310110338
21,04,61531,6113765,0094,93,50,0,0,40,0,46,71,0,71,,6,10,2,1,1,14,8,1,04615316113765
21,04,61531,6112585,0067,132,107,1,0,22,0,76,109,0,109,,12,10,2,1,1,14,12,1,04615316112585
21,04,61531,6112999,0079,128,55,1,0,9,0,40,61,1,61,,9,10,2,1,1,6,8,1,04615316112999
21,04,61531,0000000,,1532,952,13,0,71,0,778,1016,16,1020,,,,,,,,,1,04615310000000
21,04,61549,0000000,,1507,1279,14,0,33,0,954,1306,216,1332,,,,,,,,,1,04615490000000
21,04,73379,0000000,,52,49,2,1,46,0,43,52,2,52,,,,,,,,,1,04733790000000
21,04,75507,0000000,,2080,1619,10,0,25,36,1028,1633,324,1656,,,,,,,,,1,04755070000000
21,05,10058,0530154,0527,452,156,2,0,0,0,181,183,3,185,,12,10,,2,1,14,12,1,05100580530154
21,05,10058,0000000,,41,18,12,0,0,0,20,30,2,31,,,,,,,,,1,05100580000000
21,05,61556,0000000,,624,190,2,0,3,0,178,209,8,214,,,,,,,,,1,05615560000000
