year,school_code,school_name
21,112706,California Virtual Academy @ Los Angeles
21,112714,Antelope Valley Learning Academy
21,112722,Summit Preparatory Charter High
21,112987,Forestville Academy
21,113407,Rocky Point Charter
21,113431,University Preparatory Academy Charter
21,113464,Aveson Global Leadership Academy
21,113472,Aveson School of Leaders
21,113530,Santa Rosa Charter School for the Arts
21,113662,Voices College-Bound Language Academy
21,113704,Rocketship Mateo Sheedy Elementary
21,113852,Riverbank Language Academy
21,113878,Higher Learning Academy
21,113894,Pasadena Rosebud Academy
21,113928,Riverside Preparatory
21,114256,Inland Leaders Charter
21,114264,North County Trade Tech High
21,114272,SAVA - Sacramento Academic and Vocational Academy
21,114314,Bitney Prep High
21,114322,Yuba River Charter
21,114330,Nevada City School of the Arts
21,114348,Butterfield Charter
21,114355,Sierra Charter
21,114363,American Indian Public Charter II
21,114371,Rocklin Academy at Meyers Street
21,114389,Mirus Secondary
21,114421,KIPP King Collegiate High
21,114439,Mission View Public
21,114462,Health Sciences High and Middle College
21,114470,Making Waves Academy
21,114553,University High
21,114660,Delta Elementary Charter
21,114678,High Tech High Chula Vista
21,114694,High Tech High North County
21,114868,Oakland Charter High
21,114876,Aspire Port City Academy
21,114884,Aspire Junior Collegiate Academy
21,114934,Village Charter
21,114959,Monsenor Oscar Romero Charter Middle
21,114967,Global Education Academy
21,114983,Golden Valley River
21,114991,CORE Butte Charter
21,115014,KIPP Bridge Academy
21,115030,Magnolia Science Academy 3
21,115048,Fenton Primary Center
21,115055,River Oak Charter
21,115063,Antioch Charter Academy II
21,115089,Sky Mountain Charter
21,115105,Camarillo Academy of Progressive Education
21,115113,"Ivy Bound Academy of Math, Science, and Technology Charter Middle"
21,115139,Center for Advanced Learning
21,115154,Trillium Charter
21,115170,School of Extended Educational Options
21,115212,Magnolia Science Academy 2
21,115238,ARISE High
21,115253,Discovery Charter Preparatory #2
21,115287,ICEF Vista Middle Academy
21,115386,Civicorps Corpsmember Academy
21,115469,Vallejo Charter
21,115592,Learning Without Limits
21,115725,Lifeline Education Charter
21,115808,Norton Science and Language Academy
21,116434,Orcutt Academy Charter
21,116491,Open Door Charter
21,116509,Alliance Morgan McKinzie High
21,116590,Harmony Magnet Academy
21,116640,Dunlap Leadership Academy
21,116707,Encore Jr./Sr. High School for the Performing and Visual Arts
21,116723,Academy of Careers and Exploration
21,116814,ACE Empower Academy
21,116822,Wilder's Preparatory Academy Charter Middle
21,116889,KIPP San Jose Collegiate
21,116921,Manzanita Public Charter
21,117036,Enadia Way Technology Charter
21,117077,APEX Academy
21,117150,Loomis Basin Charter
21,117168,Golden Eagle Charter
21,117184,Madera County Independent Academy
21,117192,SOAR Charter Academy
21,117234,Santa Clarita Valley International
21,117242,Yuba Environmental Science Charter Academy
21,117457,Great Valley Academy
21,117598,Alliance Piera Barbaglia Shaheen Health Services Academy
21,117606,Alliance Leichtman-Levine Family Foundation Environmental Science High
21,117614,New Los Angeles Charter
21,117622,Magnolia Science Academy 4
21,117648,Magnolia Science Academy 6
21,117655,Magnolia Science Academy 7
21,117796,New Jerusalem
21,117804,Ceiba College Preparatory Academy
21,117846,Para Los Niños Middle
21,117853,Dr. Lewis Dolphin Stallworth Sr. Charter
21,117879,Maria Montessori Charter Academy
21,117895,Synergy Kinetic Academy
21,117903,KIPP Raices Academy
21,117911,New Millennium Secondary
21,117937,ICEF Vista Elementary Academy
21,117952,ICEF Innovation Los Angeles Charter
21,117978,Goethe International Charter
21,117994,YouthBuild Charter School of California
21,118018,Clovis Online Charter
21,118042,Forest Ranch Charter
21,118059,LaVerne Elementary Preparatory Academy
21,118075,Learning Works
21,118083,Innovations Academy
21,118133,Five Keys Adult School (SF Sheriff's)
21,118141,Five Keys Independence HS (SF Sheriff's)
21,118224,Aspire Golden State College Preparatory Academy
21,118349,Big Sur Charter
21,118455,Ballington Academy for the Arts and Sciences
21,118497,Aspire Langston Hughes Academy
21,118588,Alain Leroy Locke College Preparatory Academy
21,118760,Barack Obama Charter
