year,district_code,district_name
20,71068,Denair Unified
20,67041,Desert Center Unified
20,67058,Desert Sands Unified
20,63420,Di Giorgio Elementary
20,75531,Dinuba Unified
20,70532,Dixon Unified
20,75317,Dos Palos Oro Loma Joint Unified
20,71696,Douglas City Elementary
20,64451,Downey Unified
20,66803,Dry Creek Joint Elementary
20,64469,Duarte Unified
20,75093,Dublin Unified
20,71894,Ducor Union Elementary
20,70672,Dunham Elementary
20,70243,Dunsmuir Elementary
20,70250,Dunsmuir Joint Union High
20,61432,Durham Unified
20,71902,Earlimart Elementary
20,71373,East Nicolaus Joint Union High
20,69427,East Side Union High
20,64485,East Whittier City Elementary
20,73668,Eastern Sierra Unified
20,64477,Eastside Union Elementary
20,63438,Edison Elementary
20,63123,El Centro Elementary
20,10090,El Dorado County Office of Education
20,61853,El Dorado Union High
20,64501,El Monte City
20,64519,El Monte Union High
20,65680,El Nido Elementary
20,64527,El Rancho Unified
20,64535,El Segundo Unified
20,75168,El Tejon Unified
20,67314,Elk Grove Unified
20,63446,Elk Hills Elementary
20,71514,Elkins Elementary
20,67322,Elverta Joint Elementary
20,61168,Emery Unified
20,71076,Empire Union Elementary
20,68080,Encinitas Union Elementary
20,69971,Enterprise Elementary
20,68502,Escalon Unified
20,68098,Escondido Union
20,68106,Escondido Union High
20,72686,Esparto Unified
20,67702,Etiwanda Elementary
20,75515,Eureka City Schools
20,66829,Eureka Union
20,69435,Evergreen Elementary
20,71522,Evergreen Union
20,76836,Exeter Unified
20,63461,Fairfax Elementary
20,70540,Fairfield-Suisun Unified
20,69989,Fall River Joint Unified
20,68114,Fallbrook Union Elementary
20,68122,Fallbrook Union High
20,75325,Farmersville Unified
20,75374,Ferndale Unified
20,62794,Fieldbrook Elementary
20,72454,Fillmore Unified
20,73809,Firebaugh-Las Deltas Unified
20,71530,Flournoy Union Elementary
20,67330,Folsom-Cordova Unified
20,67710,Fontana Unified
20,66837,Foresthill Union Elementary
20,70680,Forestville Union Elementary
20,70292,Forks of Salmon Elementary
20,65565,Fort Bragg Unified
20,70698,Fort Ross Elementary
20,75036,Fort Sage Unified
20,76802,Fortuna Elementary
20,62810,Fortuna Union High
20,66498,Fountain Valley Elementary
20,62158,Fowler Unified
20,71381,Franklin Elementary
20,69450,Franklin-McKinley Elementary
20,61176,Fremont Unified
20,69468,Fremont Union High
20,69997,French Gulch-Whiskeytown Elementary
20,62828,Freshwater Elementary
20,10108,Fresno County Office of Education
20,62166,Fresno Unified
20,63479,Fruitvale Elementary
20,66506,Fullerton Elementary
20,66514,Fullerton Joint Union High
20,67348,Galt Joint Union Elementary
20,67355,Galt Joint Union High
20,66522,Garden Grove Unified
20,62836,Garfield Elementary
20,64550,Garvey Elementary
20,75267,Gateway Unified
20,70318,Gazelle Union Elementary
20,63487,General Shafter Elementary
20,71548,Gerber Union Elementary
20,70706,Geyserville Unified
20,69484,Gilroy Unified
20,64568,Glendale Unified
20,64576,Glendora Unified
20,10116,Glenn County Office of Education
20,61879,Gold Oak Union Elementary
20,61887,Gold Trail Union Elementary
20,61457,Golden Feather Union Elementary
20,75234,Golden Plains Unified
20,75580,Golden Valley Unified
20,69195,Goleta Union Elementary
20,75473,Gonzales Unified
20,64584,Gorman Joint
20,70003,Grant Elementary
20,66332,Grass Valley Elementary
20,71084,Gratton Elementary
20,70714,Gravenstein Union Elementary
20,66027,Graves Elementary
20,62851,Green Point Elementary
20,63503,Greenfield Union
20,66035,Greenfield Union Elementary
20,70326,Grenada Elementary
20,75507,Gridley Unified
20,68130,Grossmont Union High
20,69203,Guadalupe Union Elementary
20,70722,Guerneville Elementary
20,73619,Gustine Unified
20,73445,Hacienda la Puente Unified
20,76562,Hamilton Unified
20,63917,Hanford Elementary
20,63925,Hanford Joint Union High
20,70334,Happy Camp Union Elementary
20,69757,Happy Valley Elementary
20,70011,Happy Valley Union Elementary
20,70730,Harmony Union Elementary
20,71092,Hart-Ransom Union Elementary
20,64592,Hawthorne
20,61192,Hayward Unified
20,75390,Healdsburg Unified
20,63131,Heber Elementary
20,67736,Helendale Elementary
20,67082,Hemet Unified
20,64600,Hermosa Beach City Elementary
20,75044,Hesperia Unified
20,71100,Hickman Community Charter
20,68908,Hillsborough City Elementary
20,65698,Hilmar Unified
20,67470,Hollister
20,63149,Holtville Unified
20,69211,Hope Elementary
20,71944,Hope Elementary
20,70763,Horicon Elementary
20,70359,Hornbrook Elementary
20,71951,Hot Springs Elementary
20,66258,Howell Mountain Elementary
20,72462,Hueneme Elementary
20,64626,Hughes-Elizabeth Lakes Union Elementary
20,75549,Hughson Unified
20,10124,Humboldt County Office of Education
20,66530,Huntington Beach City Elementary
20,66548,Huntington Beach Union High
20,62885,Hydesville Elementary
20,70029,"Igo, Ono, Platina Union Elementary"
20,10132,Imperial County Office of Education
20,63164,Imperial Unified
20,61895,Indian Diggings Elementary
20,70037,Indian Springs Elementary
20,64634,Inglewood Unified
20,10140,Inyo County Office of Education
20,73650,Irvine Unified
20,63933,Island Union Elementary
20,62893,Jacoby Creek Elementary
20,72363,Jamestown Elementary
20,68155,Jamul-Dulzura Union Elementary
20,64105,Janesville Union Elementary
20,67488,Jefferson Elementary
20,68544,Jefferson Elementary
20,68916,Jefferson Elementary
20,68924,Jefferson Union High
20,61697,John Swett Unified
20,64113,Johnstonville Elementary
20,68163,Julian Union Elementary
20,68171,Julian Union High
20,71738,Junction City Elementary
20,70045,Junction Elementary
20,70367,Junction Elementary
20,67090,Jurupa Unified
20,70888,Kashia Elementary
20,64014,Kelseyville Unified
20,65334,Kentfield Elementary
20,70789,Kenwood
20,64642,Keppel Union Elementary
20,73999,Kerman Unified
20,10157,Kern County Office of Education
20,63529,Kern High
20,63545,Kernville Union Elementary
20,71134,Keyes Union
20,66050,King City Union
20,62265,Kings Canyon Joint Unified
20,10165,Kings County Office of Education
20,71969,Kings River Union Elementary
20,63941,Kings River-Hardwick Union Elementary
20,62240,Kingsburg Elementary Charter
20,62257,Kingsburg Joint Union High
20,71555,Kirkwood Elementary
20,63958,Kit Carson Union Elementary
20,70375,Klamath River Union Elementary
20,62901,Klamath-Trinity Joint Unified
20,62919,Kneeland Elementary
20,71142,Knights Ferry Elementary
20,61705,Knightsen Elementary
20,64022,Konocti Unified
20,64659,La Canada Unified
20,66563,La Habra City Elementary
20,68940,La Honda-Pescadero Unified
20,68197,La Mesa-Spring Valley
20,61713,Lafayette Elementary
20,66555,Laguna Beach Unified
20,65342,Laguna Joint Elementary
20,66076,Lagunita Elementary
20,65359,Lagunitas Elementary
20,10173,Lake County Office of Education
20,62596,Lake Elementary
20,75176,Lake Elsinore Unified
20,61903,Lake Tahoe Unified
20,64030,Lakeport Unified
20,69492,Lakeside Joint
20,63552,Lakeside Union
20,63966,Lakeside Union Elementary
20,68189,Lakeside Union Elementary
20,76760,Lammersville Joint Unified
20,63560,Lamont Elementary
20,64667,Lancaster Elementary
20,65367,Larkspur-Corte Madera
20,68957,Las Lomitas Elementary
20,64683,Las Virgenes Unified
20,10181,Lassen County Office of Education
20,64139,Lassen Union High
20,71563,Lassen View Union Elementary
20,62281,Laton Joint Unified
20,61911,Latrobe
20,64691,Lawndale Elementary
20,73916,Laytonville Unified
20,65722,Le Grand Union Elementary
20,65730,Le Grand Union High
20,75218,Leggett Valley Unified
20,68205,Lemon Grove
20,63974,Lemoore Union Elementary
20,63982,Lemoore Union High
20,64709,Lennox
20,71746,Lewiston Elementary
20,70797,Liberty Elementary
20,71985,Liberty Elementary
20,61721,Liberty Union High
20,65375,Lincoln Elementary
20,68569,Lincoln Unified
20,68577,Linden Unified
20,71993,Lindsay Unified
20,63586,Linns Valley-Poso Flat Union
20,64717,Little Lake City Elementary
20,70383,Little Shasta Elementary
20,69765,Live Oak Elementary
20,71399,Live Oak Unified
20,61200,Livermore Valley Joint Unified
20,65748,Livingston Union
20,68585,Lodi Unified
20,62927,Loleta Union Elementary
20,69500,Loma Prieta Joint Union Elementary
20,69229,Lompoc Unified
20,63289,Lone Pine Unified
20,64725,Long Beach Unified
20,66845,Loomis Union Elementary
20,73924,Los Alamitos Unified
20,69518,Los Altos Elementary
20,10199,Los Angeles County Office of Education
20,64733,Los Angeles Unified
20,65755,Los Banos Unified
20,69526,Los Gatos Union Elementary
20,69534,Los Gatos-Saratoga Union High
20,71571,Los Molinos Unified
20,64758,Los Nietos
20,69245,Los Olivos Elementary
20,63594,Lost Hills Union Elementary
20,64766,Lowell Joint
20,64048,Lucerne Elementary
20,75051,Lucerne Valley Unified
20,68759,Lucia Mar Unified
20,69542,Luther Burbank
20,64774,Lynwood Unified
20,10207,Madera County Superintendent of Schools
20,65243,Madera Unified
20,66589,Magnolia Elementary
20,63172,Magnolia Union Elementary
20,73692,Mammoth Unified
20,65573,Manchester Union Elementary
20,75333,Manhattan Beach Unified
20,68593,Manteca Unified
20,61499,Manzanita Elementary
20,62935,Maple Creek Elementary
20,63610,Maple Elementary
20,71407,Marcum-Illinois Union Elementary
