year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
22,01,61259,0126748,1449,436,403,1,0,5,0,193,404,175,420,,7,10,,1,1,9,12,1,01612590126748
22,01,61259,6117972,0302,145,20,0,0,0,0,55,70,19,75,,6,10,,1,1,14,5,1,01612596117972
22,01,61259,6111660,0014,246,47,2,0,18,0,132,181,133,225,,9,10,,1,1,6,8,1,01612596111660
22,01,61259,0114868,0883,453,131,0,0,6,0,212,337,87,365,,7,10,,1,1,9,12,1,01612590114868
22,01,61259,0130617,0349,544,362,1,0,8,0,264,374,183,427,,12,10,,1,1,6,12,1,01612590130617
22,01,61259,3030772,0340,791,158,1,0,4,0,162,180,10,185,,12,10,,1,1,6,12,1,01612593030772
22,01,61259,0100065,0510,376,314,1,0,0,0,141,329,97,341,,7,10,,1,1,9,12,1,01612590100065
22,01,61259,0000000,,34374,25811,174,0,1236,8,15395,26169,11610,26924,,16,,,,,,,1,01612590000000
22,01,61275,0000000,,2349,9,0,0,3,0,57,67,26,88,,16,,,,,,,1,01612750000000
22,01,61291,0000000,,8712,6145,31,0,97,0,3017,6193,2277,6625,,16,,,,,,,1,01612910000000
22,01,61309,0114421,0880,660,451,2,0,6,0,208,455,72,466,,7,10,,1,1,9,12,1,01613090114421
22,01,61309,0101212,0524,423,300,0,0,0,0,147,301,140,328,,9,10,,1,1,5,8,1,01613090101212
22,01,61309,0000000,,8759,6632,21,0,124,65,3385,6761,2763,7134,,16,,,,,,,1,01613090000000
22,01,75093,0000000,,12490,0,11,0,30,0,983,999,886,1689,,16,,,,,,,1,01750930000000
22,01,75101,0000000,,14075,1089,8,0,29,0,763,1111,1453,2295,,16,,,,,,,1,01751010000000
22,01,75119,0000000,,262,24,0,0,0,0,24,24,14,37,,16,,,,,,,1,01751190000000
22,01,77180,0138289,2015,227,83,1,0,0,0,85,124,60,141,,8,10,,1,0,9,12,1,01771800138289
22,02,10025,0000000,,0,0,0,0,0,0,0,0,0,0,,16,,,,,,,1,02100250000000
22,02,61333,0000000,,61,25,2,0,3,0,29,37,0,37,,16,,,,,,,1,02613330000000
22,03,10033,0000000,,22,11,0,0,6,0,9,11,1,12,,16,,,,,,,1,03100330000000
22,03,73981,0000000,,4008,1650,29,0,110,18,1357,1697,125,1735,,16,,,,,,,1,03739810000000
22,04,10041,0134213,1811,55,46,1,0,10,0,26,47,1,47,,7,10,,2,0,9,12,1,04100410134213
22,04,10041,0114991,0945,859,365,3,0,18,1,239,367,8,368,,12,10,,1,1,14,12,1,04100410114991
22,04,10041,0430090,0110,158,124,0,0,3,0,103,125,3,125,,12,10,,2,0,14,12,1,04100410430090
22,04,10041,0000000,,120,90,8,0,4,0,66,92,8,93,,16,,,,,,,1,04100410000000
22,04,61382,0000000,,90,57,1,0,2,0,40,57,6,60,,16,,,,,,,1,04613820000000
22,04,61408,0000000,,574,295,9,0,35,2,296,311,49,327,,16,,,,,,,1,04614080000000
22,04,61424,0141085,2120,188,75,0,0,8,0,58,76,6,76,,6,10,,1,1,14,8,1,04614240141085
22,04,61424,6119523,0415,270,152,1,0,1,0,125,152,6,157,,6,10,,1,1,14,8,1,04614246119523
22,04,61424,6113773,0112,565,123,3,0,10,0,109,135,9,140,,6,10,,1,1,14,8,1,04614246113773
22,04,61424,0118042,1019,110,55,5,0,2,0,36,55,1,55,,6,10,,1,1,14,8,1,04614240118042
22,04,61424,0120394,1114,414,190,2,0,7,0,140,195,6,201,,7,10,,1,1,9,12,1,04614240120394
22,04,61424,0110551,0729,201,60,1,0,2,0,34,60,4,60,,6,10,,1,1,14,8,1,04614240110551
22,04,61424,0137828,1982,91,30,0,0,0,0,38,48,1,48,,12,10,,1,1,6,12,1,04614240137828
22,04,61424,0121475,1166,105,57,3,0,10,0,49,61,7,64,,6,10,,1,1,14,8,1,04614240121475
22,04,61424,0123810,1280,136,31,0,0,0,0,32,46,3,48,,6,10,,1,1,14,8,1,04614240123810
22,04,61424,0000000,,11996,6828,72,0,453,7,4439,6927,743,7024,,16,,,,,,,1,04614240000000
22,04,61432,0000000,,982,415,4,0,48,7,286,415,77,416,,16,,,,,,,1,04614320000000
22,04,61457,0000000,,73,58,1,0,21,0,45,58,4,60,,16,,,,,,,1,04614570000000
22,04,61499,0000000,,291,159,0,0,2,2,82,159,51,164,,16,,,,,,,1,04614990000000
22,04,61507,0121509,1170,101,17,2,0,4,0,60,70,0,70,,12,10,,1,1,14,12,1,04615070121509
22,04,61507,0129577,1616,310,118,0,0,0,0,91,131,10,131,,6,10,,1,1,14,8,1,04615070129577
22,04,61507,0000000,,2144,1701,32,0,71,0,1362,1701,163,1721,,16,,,,,,,1,04615070000000
22,04,61515,0000000,,2427,1896,26,0,57,2,1375,1915,109,1922,,16,,,,,,,1,04615150000000
22,04,61523,0000000,,1249,978,4,0,76,1,717,993,156,1005,,16,,,,,,,1,04615230000000
22,04,61531,0110338,0751,94,39,0,0,8,0,25,43,6,43,,6,10,2,1,1,14,8,1,04615310110338
22,04,61531,6113765,0094,151,55,0,0,41,0,65,87,3,88,,6,10,2,1,1,14,8,1,04615316113765
22,04,61531,6112585,0067,98,76,0,0,17,0,55,79,0,79,,12,10,2,1,1,14,12,1,04615316112585
22,04,61531,6112999,0079,143,56,0,0,1,0,49,56,1,57,,9,10,2,1,1,6,8,1,04615316112999
22,04,61531,0000000,,1489,907,12,0,44,0,757,938,18,944,,16,,,,,,,1,04615310000000
22,04,61549,0000000,,1484,1225,11,0,39,0,968,1245,218,1271,,16,,,,,,,1,04615490000000
22,04,73379,0000000,,29,27,0,0,21,0,24,29,2,29,,16,,,,,,,1,04733790000000
22,04,75507,0000000,,2028,1479,10,0,24,40,654,1492,337,1520,,16,,,,,,,1,04755070000000
22,05,10058,0530154,0527,433,0,2,0,6,0,161,164,7,168,,12,10,,2,1,14,12,1,05100580530154
22,05,10058,0000000,,37,3,9,0,0,0,16,23,4,24,,16,,,,,,,1,05100580000000
22,05,61556,0000000,,646,209,3,0,4,0,205,214,11,218,,16,,,,,,,1,05615560000000
22,05,61564,0000000,,2853,277,31,0,3,0,1136,1344,110,1392,,16,,,,,,,1,05615640000000
22,05,61572,0000000,,727,351,9,0,2,0,353,377,42,393,,16,,,,,,,1,05615720000000
22,05,61580,0000000,,565,315,3,0,22,0,208,361,30,365,,16,,,,,,,1,05615800000000
22,06,10066,0000000,,27,21,0,0,3,1,17,22,6,22,,16,,,,,,,1,06100660000000
22,06,61598,0000000,,1531,919,12,2,63,34,634,963,480,1103,,16,,,,,,,1,06615980000000
22,06,61606,0000000,,344,187,1,0,63,13,113,214,105,234,,16,,,,,,,1,06616060000000
22,06,61614,0000000,,1496,1055,19,0,100,61,508,1064,534,1138,,16,,,,,,,1,06616140000000
