year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,01,10017,0130625,0398,143,117,0,0,4,0,70,128,85,140,1,7,10,,1,1,9,12,1,01100170130625
23,01,10017,0137448,1908,146,122,0,0,0,0,85,125,41,131,1,10,10,5,1,1,6,8,1,01100170137448
23,01,10017,0123968,1284,183,76,0,0,1,0,111,139,93,160,1,6,10,2,1,1,14,8,1,01100170123968
23,01,10017,0136101,1881,494,101,0,0,3,0,91,134,21,141,1,12,10,,1,1,14,12,1,01100170136101
23,01,10017,6001788,0740,483,437,1,0,2,1,281,440,272,460,1,6,10,2,1,1,15,5,1,01100176001788
23,01,10017,0112607,0811,272,215,1,0,0,0,149,218,54,224,1,12,10,,1,1,4,12,1,01100170112607
23,01,10017,0138867,2027,150,63,0,0,3,0,50,63,50,90,1,6,10,,1,1,14,6,1,01100170138867
23,01,10017,6002000,1464,463,403,0,0,1,0,245,404,235,427,1,6,10,2,1,1,14,8,1,01100176002000
23,01,10017,0131581,1707,59,0,0,0,0,0,26,26,32,45,1,9,10,5,1,1,6,8,1,01100170131581
23,01,10017,0136226,1888,166,10,12,0,23,0,78,92,34,113,1,3,4,,2,0,10,12,1,01100170136226
23,01,10017,0125567,1383,326,45,0,0,2,0,65,88,44,112,1,6,10,,1,1,14,8,1,01100170125567
23,01,10017,0124172,1296,766,197,0,0,1,0,162,205,134,273,1,6,10,,1,1,14,8,1,01100170124172
23,01,10017,0000000,,102,31,7,0,17,0,56,77,28,94,,,,,,,,,1,01100170000000
23,01,61119,0130609,0352,398,94,1,0,1,0,123,135,70,165,1,12,10,,1,1,6,12,1,01611190130609
23,01,61119,0119222,1066,523,171,3,0,6,0,182,212,77,245,1,12,10,,1,1,14,12,1,01611190119222
23,01,61119,0122085,1181,607,314,2,0,6,0,203,320,88,343,1,6,10,,1,1,14,8,1,01611190122085
23,01,61119,0000000,,8830,3048,16,0,65,0,1819,3105,795,3315,,,,,,,,,1,01611190000000
23,01,61127,0000000,,3529,962,5,0,9,0,547,993,453,1240,,,,,,,,,1,01611270000000
23,01,61143,0000000,,9073,2314,16,0,137,0,1651,2348,660,2624,,,,,,,,,1,01611430000000
23,01,61150,0000000,,9205,3217,11,0,110,0,1521,3245,1172,3672,,,,,,,,,1,01611500000000
23,01,61168,0000000,,627,466,3,0,2,0,303,494,118,510,,,,,,,,,1,01611680000000
23,01,61176,0130534,0152,401,187,0,0,5,0,132,187,56,213,1,12,10,,2,0,14,12,1,01611760130534
23,01,61176,0000000,,32706,7135,20,0,173,40,4518,7234,5052,9992,,,,,,,,,1,01611760000000
